DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"37909",37909,Mk10,DS,2,0,0,88,88,05:20:04 27-Apr-2014,K,1,60.65250015,-178.10667419,,,,,401677179,,
"37909",37909,Mk10,DS,3,0,0,88,88,05:20:04 27-Apr-2014,K,B,60.63583374,-178.01638794,,,,,401677198,,
"37909",37909,Mk10,DS,1,0,0,,,05:20:48 27-Apr-2014,N,B,60.63666534,-178.02221680,,,,,401677188,,
"37909",37909,Mk10,DS,7,0,1,116,45,05:42:00 27-Apr-2014,R,1,60.64777756,-178.12416077,,,,,401677226,,
"37909",37909,Mk10,DS,7,0,0,87,43,05:54:34 27-Apr-2014,A,2,60.64305496,-178.10610962,,,,,401677236,,
"37909",37909,Mk10,DS,1,0,0,,,06:01:29 27-Apr-2014,L,B,60.64305496,-178.10610962,,,,,401677242,,
"37909",37909,Mk10,DS,1,0,1,,,06:51:11 27-Apr-2014,B,B,60.64305496,-178.10610962,,,,,401677242,,
"37909",37909,Mk10,DS,6,0,2,136,59,07:22:04 27-Apr-2014,R,1,60.65499878,-178.07000732,,,,,401677244,,
"37909",37909,Mk10,DS,6,1,0,,,07:30:19 27-Apr-2014,A,1,60.65499878,-178.10417175,,,,,401677246,,
"37909",37909,Mk10,DS,12,7,0,,,07:30:19 27-Apr-2014,A,2,60.66305542,-178.06222534,,,,,401677243,,
"37909",37909,Mk10,DS,4,0,1,176,176,07:45:16 27-Apr-2014,L,1,60.66083145,-178.04194641,,,,,401677236,,
"37909",37909,Mk10,DS,6,1,3,,,08:30:16 27-Apr-2014,B,2,60.66583252,-178.02944946,,,,,401677237,,
"37909",37909,Mk10,DS,6,0,0,88,88,09:00:11 27-Apr-2014,R,2,60.66166687,-178.07472229,,,,,401677210,,
"37909",37909,Mk10,DS,4,0,1,88,88,09:16:19 27-Apr-2014,A,2,60.65555573,-178.07221985,,,,,401677199,,
"37909",37909,Mk10,DS,6,0,1,844,88,09:30:15 27-Apr-2014,L,A,60.65499878,-178.07194519,,,,,401677196,,
"37909",37909,Mk10,DS,7,1,1,,,12:48:15 27-Apr-2014,P,2,60.63444519,-178.06195068,,,,,401677191,,
"37909",37909,Mk10,DS,5,0,1,88,88,00:06:47 28-Apr-2014,N,2,60.70083237,-178.14416504,,,,,401677152,,
"37909",37909,Mk10,DS,8,1,0,,,00:32:14 28-Apr-2014,P,0,60.71500015,-178.13360596,,,,,401677129,,
"37909",37909,Mk10,DS,6,0,2,88,88,00:37:35 28-Apr-2014,A,1,60.70527649,-178.17472839,,,,,401677120,,
"37909",37909,Mk10,DS,3,0,0,88,88,00:55:55 28-Apr-2014,L,A,60.71444321,-178.15472412,,,,,401677123,,
"37909",37909,Mk10,DS,1,0,1,,,01:34:03 28-Apr-2014,B,B,60.71583176,-178.11805725,,,,,401677134,,
"37909",37909,Mk10,DS,6,0,1,88,88,01:39:11 28-Apr-2014,K,2,60.71749878,-178.15805054,,,,,401677131,,
"37909",37909,Mk10,DS,4,0,1,88,88,01:45:47 28-Apr-2014,N,1,60.72833252,-178.12693787,,,,,401677127,,
"37909",37909,Mk10,DS,1,0,0,,,01:45:47 28-Apr-2014,N,B,60.71500015,-178.12083435,,,,,401677133,,
"37909",37909,Mk10,DS,6,0,2,88,88,02:15:51 28-Apr-2014,P,2,60.72944260,-178.12777710,,,,,401677139,,
"37909",37909,Mk10,DS,1,0,0,,,02:35:39 28-Apr-2014,L,B,60.72777939,-178.12361145,,,,,401677146,,
"37909",37909,Mk10,DS,3,0,0,88,88,03:13:47 28-Apr-2014,K,A,60.73666763,-178.12554932,,,,,401677155,,
"37909",37909,Mk10,DS,7,0,0,102,88,03:22:35 28-Apr-2014,N,2,60.73805618,-178.11917114,,,,,401677159,,
"37909",37909,Mk10,DS,1,0,0,,,03:56:19 28-Apr-2014,A,B,60.74222183,-178.09666443,,,,,401677177,,
"37909",37909,Mk10,DS,2,0,1,88,88,04:12:27 28-Apr-2014,L,B,60.74027634,-178.10388184,,,,,401677178,,
"37909",37909,Mk10,DS,7,0,1,88,88,04:57:11 28-Apr-2014,K,2,60.74583435,-178.10249329,,,,,401677168,,
"37909",37909,Mk10,DS,2,0,1,88,88,05:08:55 28-Apr-2014,N,B,60.74499893,-178.11193848,,,,,401677178,,
