DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"66928",66928,Mk10,06:35:23 19-May-2014,Argos,3,63.65638733,-174.52915955,165,324,84,63,,,,,
"66928",66928,Mk10,06:36:08 19-May-2014,Argos,3,63.65555573,-174.53138733,154,313,75,88,,,,,
"66928",66928,Mk10,07:30:16 19-May-2014,Argos,3,63.65944290,-174.51472473,191,685,53,102,,,,,
"66928",66928,Mk10,07:33:14 19-May-2014,Argos,3,63.65777588,-174.53222656,214,1433,31,78,,,,,
"66928",66928,Mk10,08:16:15 19-May-2014,Argos,3,63.66722107,-174.49833679,210,1539,28,84,,,,,
"66928",66928,Mk10,08:17:00 19-May-2014,Argos,3,63.66638947,-174.50166321,150,926,24,83,,,,,
"66928",66928,Mk10,00:56:50 20-May-2014,Argos,2,63.69916534,-174.17971802,286,572,142,106,,,,,
"66928",66928,Mk10,00:59:26 20-May-2014,Argos,3,63.70222092,-174.17333984,167,405,69,84,,,,,
"66928",66928,Mk10,01:23:10 20-May-2014,Argos,B,63.70138931,-174.17277527,355,942,134,90,,,,,
"66928",66928,Mk10,01:26:53 20-May-2014,Argos,2,63.70555496,-174.16722107,375,1632,86,86,,,,,
"66928",66928,Mk10,01:31:20 20-May-2014,Argos,2,63.70249939,-174.16471863,298,964,92,98,,,,,
"66928",66928,Mk10,02:37:20 20-May-2014,Argos,3,63.70639038,-174.11749268,170,572,50,79,,,,,
"66928",66928,Mk10,02:41:47 20-May-2014,Argos,3,63.70360947,-174.11860657,139,876,22,81,,,,,
"66928",66928,Mk10,03:02:33 20-May-2014,Argos,A,63.70360947,-174.11332703,225,752,67,82,,,,,
"66928",66928,Mk10,03:06:16 20-May-2014,Argos,B,63.70388794,-174.11361694,298,807,109,86,,,,,
"66928",66928,Mk10,03:12:12 20-May-2014,Argos,B,63.70611191,-174.12583923,1548,3576,670,90,,,,,
"66928",66928,Mk10,03:59:40 20-May-2014,Argos,B,63.70583344,-174.12638855,931,4713,184,82,,,,,
"66928",66928,Mk10,04:15:14 20-May-2014,Argos,3,63.70472336,-174.07028198,145,650,32,93,,,,,
"66928",66928,Mk10,04:18:57 20-May-2014,Argos,3,63.70472336,-174.07194519,224,824,60,95,,,,,
"66928",66928,Mk10,04:39:43 20-May-2014,Argos,B,63.71055603,-174.07167053,366,1023,131,116,,,,,
"66928",66928,Mk10,04:44:54 20-May-2014,Argos,B,63.70972061,-174.07194519,390,1259,120,115,,,,,
"66928",66928,Mk10,05:19:46 20-May-2014,Argos,3,63.70305634,-174.05221558,150,424,53,77,,,,,
"66928",66928,Mk10,05:56:06 20-May-2014,Argos,A,63.70888901,-174.03971863,403,1335,121,108,,,,,
"66928",66928,Mk10,06:19:50 20-May-2014,Argos,3,63.70055389,-174.02610779,210,570,77,95,,,,,
"66928",66928,Mk10,06:23:33 20-May-2014,Argos,3,63.70305634,-174.02944946,150,318,70,89,,,,,
"66928",66928,Mk10,06:59:24 20-May-2014,Argos,2,63.70333481,-174.01333618,287,3392,24,99,,,,,
"66928",66928,Mk10,07:11:45 20-May-2014,Argos,A,63.70500183,-174.01472473,197,932,41,67,,,,,
"66928",66928,Mk10,07:56:15 20-May-2014,Argos,2,63.70916748,-173.99194336,327,4412,24,80,,,,,
"66928",66928,Mk10,08:05:00 20-May-2014,Argos,2,63.70972061,-173.99166870,357,4658,27,81,,,,,
"66928",66928,Mk10,08:34:49 20-May-2014,Argos,B,63.70805740,-173.99777222,347,953,126,97,,,,,
