DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"66928",66928,Mk10,02:40:16 26-Apr-2014,,P,2,60.61722183,-178.07388306,Likely MiniPAT,02:39:59 26-Apr-2014,Status,0,17,52,41,251,184,210,,,,,,,,,,,,,,,,,,,,,,,,,
"66928",66928,Mk10,09:29:32 26-Apr-2014,,R,1,60.76861191,-178.02416992,Too short,,TAT,168,17,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66928",66928,Mk10,11:20:26 26-Apr-2014,,A,B,60.76361084,-178.02944946,CRC 32539.40538,07:06:00 26-Apr-2014,Behavior,183,241,185,52,113,129,172,19,1,112,11,144,40,13,0,93,195,128,92,2,192,2,2,128,17,2,204,28,0,0,0,
"66928",66928,Mk10,14:18:42 26-Apr-2014,,N,B,60.76610947,-178.04556274,CRC 40264.40200,08:09:00 26-Apr-2014,Behavior,185,212,137,52,130,64,190,40,104,233,128,24,192,160,60,3,112,50,12,39,153,113,144,68,28,175,28,98,48,32,0,
"66928",66928,Mk10,14:43:48 26-Apr-2014,,P,B,60.88833237,-177.92388916,CRC 43822.25632,05:50:00 26-Apr-2014,Behavior,186,178,233,52,92,129,32,52,194,113,204,0,184,28,142,102,133,192,112,3,4,50,3,96,25,33,208,50,44,0,0,
"66928",66928,Mk10,00:16:37 27-Apr-2014,,N,2,61.06083298,-177.90110779,CRC 32667.47650,07:06:00 26-Apr-2014,Behavior,183,249,185,52,113,129,172,19,1,112,11,144,169,205,28,120,195,130,92,32,192,2,6,148,49,6,204,20,64,96,0,
"66928",66928,Mk10,05:08:50 27-Apr-2014,,B,B,61.07166672,-177.91416931,CRC 19348.42070,12:08:00 26-Apr-2014,Behavior,180,185,73,52,194,1,190,5,1,225,14,168,176,24,2,33,129,120,27,0,199,11,129,217,39,144,92,3,196,0,0,
"66928",66928,Mk10,05:37:01 27-Apr-2014,,R,2,61.06888962,-177.94139099,CRC 31642.50568,14:29:00 26-Apr-2014,Behavior,183,185,169,52,231,65,9,62,129,128,20,4,42,4,48,28,1,80,31,0,180,20,96,204,3,8,65,2,192,0,0,
"66928",66928,Mk10,05:59:16 27-Apr-2014,,A,2,61.06166840,-177.91722107,CRC 33031.16707,00:43:00 26-Apr-2014,Behavior,184,16,121,52,10,253,12,65,12,112,200,166,103,7,80,76,148,64,181,4,147,185,65,52,49,10,7,46,2,160,0,
"66928",66928,Mk10,10:41:18 27-Apr-2014,,R,B,61.10666656,-177.91749573,CRC 17300.25786,08:08:00 26-Apr-2014,Behavior,180,57,73,52,130,1,190,5,1,192,14,232,188,24,2,161,129,48,27,0,235,11,129,217,35,144,28,19,196,0,0,
"66928",66928,Mk10,13:49:09 27-Apr-2014,,R,1,61.18194580,-177.38528442,CRC 18107.50872,23:21:00 27-Apr-2014,Behavior,180,107,185,55,117,65,74,172,129,80,11,80,84,8,128,76,130,32,92,2,208,17,2,128,21,224,104,21,0,0,0,
"66928",66928,Mk10,14:05:28 27-Apr-2014,,N,B,61.18222046,-177.38583374,CRC 31642.19721,14:29:00 10-Apr-2014,Behavior,183,185,169,20,231,65,9,158,133,128,20,4,42,4,48,28,1,80,31,128,180,20,96,204,2,8,65,2,192,0,0,
"66928",66928,Mk10,00:41:51 28-Apr-2014,,A,1,61.19333267,-177.42889404,CRC 21313.6582,17:49:00 26-Apr-2014,Behavior,181,52,25,53,28,65,230,7,2,0,13,208,8,13,128,113,129,192,108,3,112,0,3,112,1,1,111,10,226,0,0,
