DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"99282",99282,Mk10,07:07:43 28-Apr-2014,,A,3,60.66527939,-178.06555176,CRC 40755.57139,07:07:39 28-Apr-2014,Status,2,1,56,113,231,159,51,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,07:19:27 28-Apr-2014,,A,3,60.66527939,-178.06555176,CRC 7475.7219,07:19:23 28-Apr-2014,Status,2,1,56,116,215,29,51,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,08:57:38 28-Apr-2014,,A,3,60.67555618,-178.07499695,CRC 8733.8930,08:57:33 28-Apr-2014,Status,2,1,56,142,97,34,29,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,10:09:30 28-Apr-2014,,R,B,60.68083191,-178.07943726,CRC 32623.32619,10:09:25 28-Apr-2014,Status,2,1,56,162,89,127,111,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,10:37:22 28-Apr-2014,,A,A,60.68888855,-178.09944153,CRC 39400.22957,10:37:17 28-Apr-2014,Status,6,1,56,169,81,153,232,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,12:37:38 28-Apr-2014,,P,3,60.71277618,-178.09527588,CRC 38902.38646,12:37:33 28-Apr-2014,Status,2,1,56,201,97,151,246,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,12:42:02 28-Apr-2014,,P,3,60.71277618,-178.09527588,CRC 54654.5415,12:41:56 28-Apr-2014,Status,2,1,56,202,120,213,126,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,12:43:30 28-Apr-2014,,P,3,60.71277618,-178.09527588,CRC 55158.63350,12:43:25 28-Apr-2014,Status,2,1,56,202,217,215,118,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,02:06:13 29-Apr-2014,,P,3,60.82416534,-177.96360779,CRC 31102.10706,05:00:00 28-Apr-2011,Percent,231,151,237,56,86,0,9,1,9,105,46,4,254,67,175,5,16,153,20,3,35,172,143,140,99,54,105,,,,,
"99282",99282,Mk10,02:26:45 29-Apr-2014,,L,2,60.83027649,-177.97027588,Too short,,,231,151,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,03:32:45 29-Apr-2014,,A,B,60.81861115,-177.95611572,CRC 31102.34947,,Percent,231,151,232,56,86,0,0,0,0,49,225,191,111,38,76,153,176,226,201,131,38,68,226,221,100,200,8,,,,,
"99282",99282,Mk10,03:35:41 29-Apr-2014,,A,B,60.81861115,-177.95611572,CRC 31102.39496,05:00:00 20-Dec-2014,Percent,231,151,235,40,86,0,0,64,0,49,225,191,111,38,204,153,48,224,201,147,38,68,226,221,100,200,0,,,,,
"99282",99282,Mk10,08:03:42 29-Apr-2014,,R,3,60.87666702,-177.80610657,CRC 31102.33557,05:00:00 30-Apr-2014,Percent,231,151,233,60,86,0,0,0,1,49,225,190,101,38,72,153,48,226,201,147,38,68,226,221,100,72,0,,,,,
"99282",99282,Mk10,00:05:12 30-Apr-2014,,A,1,60.96583176,-177.87472534,CRC 64942.64938,00:05:06 30-Apr-2014,Status,0,1,60,1,70,253,174,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,01:45:43 30-Apr-2014,,P,3,61.00333405,-177.95333862,CRC 31614.65167,05:00:00 28-Apr-2014,Percent,231,183,233,56,86,0,0,0,0,49,225,191,111,38,76,153,48,226,201,147,38,64,230,221,100,200,4,,,,,
"99282",99282,Mk10,03:10:47 30-Apr-2014,,N,2,61.03527832,-177.96861267,CRC 22902.12625,,,229,151,105,56,84,0,64,0,1,33,225,191,111,38,76,153,48,226,201,146,38,68,226,221,100,200,0,,,,,
"99282",99282,Mk10,04:13:56 30-Apr-2014,,B,B,61.04888916,-178.00250244,CRC 49579.24188,15:00:00 30-Apr-2014,Fluorometer,236,26,185,60,248,220,187,99,102,100,201,54,171,153,217,50,100,127,126,253,107,185,50,100,166,64,1,,,,,
"99282",99282,Mk10,05:33:10 30-Apr-2014,,L,2,61.09222412,-178.03555298,CRC 49579.63037,00:00:00 29-Dec-2014,Percent,236,26,187,58,7,145,38,68,137,35,96,200,11,16,254,232,109,160,199,132,4,71,71,157,156,223,254,,,,,
"99282",99282,Mk10,06:27:26 30-Apr-2014,,A,2,61.11555481,-178.02638245,CRC 49579.9956,,Percent,236,26,184,58,7,147,38,76,153,50,116,153,85,204,228,153,50,63,159,250,181,220,153,50,83,32,0,,,,,
"99282",99282,Mk10,07:14:22 30-Apr-2014,,L,2,61.12694550,-178.02389526,CRC 49846.34497,20:49:00 24-Dec-2011,Behavior,188,43,111,49,76,126,24,92,33,10,202,14,199,8,84,208,194,120,69,24,141,99,194,88,71,130,103,8,67,16,192,
"99282",99282,Mk10,07:21:44 30-Apr-2014,,R,2,61.13388824,-178.02416992,CRC 49643.3450,00:00:00 29-Apr-2014,Percent,236,30,185,58,7,147,38,76,153,50,100,153,69,204,236,153,50,63,159,126,181,220,153,50,83,32,1,,,,,
"99282",99282,Mk10,01:44:14 01-May-2014,,P,2,61.29639053,-178.15333557,CRC 49579.31595,00:00:00 29-Dec-2014,Percent,236,26,187,58,7,147,38,68,153,114,100,153,69,73,45,78,24,2,195,17,108,184,196,201,199,235,251,,,,,
"99282",99282,Mk10,02:53:10 01-May-2014,,N,2,61.31944275,-178.17304993,CRC 7340.63676,15:00:00 30-Apr-2014,DiveDepth,49,202,201,60,251,0,135,75,2,160,2,193,84,14,0,20,138,160,168,0,192,77,2,192,4,67,8,18,8,8,0,
"99282",99282,Mk10,04:37:18 01-May-2014,,A,1,61.34833145,-178.26194763,CRC 55613.59433,,Behavior,189,147,222,71,137,130,149,56,19,38,193,128,201,31,156,125,136,239,118,239,235,232,120,56,33,99,193,169,64,186,121,
"99282",99282,Mk10,05:16:54 01-May-2014,,R,2,61.37027740,-178.25250244,CRC 7141.2001,16:04:00 01-Nov-2013,Behavior,177,190,86,195,1,63,136,157,60,0,8,75,252,184,231,235,109,192,38,77,149,96,29,71,19,44,192,254,9,8,131,
"99282",99282,Mk10,07:08:22 01-May-2014,,B,B,61.41666794,-178.27278137,CRC 5019.51048,15:21:00 30-Apr-2014,Behavior,177,57,185,60,245,120,160,0,114,187,205,242,66,25,4,8,128,17,203,32,100,0,150,81,4,64,71,168,48,77,40,
"99282",99282,Mk10,09:41:14 02-May-2014,,R,Z,61.56555557,-178.03805542,CRC 6499.28702,,Behavior,177,150,56,3,246,1,184,7,2,16,14,144,56,18,0,108,128,192,124,3,108,10,3,176,25,96,112,33,0,0,0,
"99282",99282,Mk10,12:56:02 02-May-2014,,R,B,61.44694519,-176.15110779,CRC 20218.29561,22:14:02 04-May-2014,Status,0,1,73,99,130,78,250,,,,,,,,,,,,,,,,,,,,,,,,,
"99282",99282,Mk10,23:50:53 02-May-2014,,B,A,61.49222183,-175.54556274,CRC 52795.30666,22:08:00 02-May-2014,Behavior,188,227,185,69,98,1,69,46,194,16,8,201,118,16,64,76,139,176,142,6,24,93,131,112,148,130,140,35,128,0,0,
"99282",99282,Mk10,01:23:17 03-May-2014,,P,2,61.49805450,-175.40472412,CRC 36201.28520,13:06:00 02-May-2014,Behavior,184,214,153,68,209,129,132,52,193,224,11,65,166,15,128,101,13,48,120,2,82,105,130,160,19,17,76,23,0,0,0,
"99282",99282,Mk10,04:37:20 03-May-2014,,K,A,61.54499817,-175.14639282,CRC 37365.62327,12:51:00 01-May-2014,Behavior,185,31,89,66,204,193,128,25,4,49,203,152,200,75,156,100,6,65,120,131,12,50,2,64,4,3,192,19,0,0,0,
"99282",99282,Mk10,05:46:55 03-May-2014,,R,3,61.57194519,-175.08888245,CRC 36163.19718,21:29:00 02-May-2014,Behavior,184,212,57,69,87,65,74,48,193,192,8,225,134,12,0,77,140,48,108,2,104,97,132,0,17,195,12,31,0,0,0,
"99282",99282,Mk10,06:00:07 03-May-2014,,R,3,61.57194519,-175.08888245,CRC 41051.25390,18:17:00 02-May-2014,Behavior,186,5,185,69,36,65,8,176,193,176,54,249,6,12,0,35,197,176,64,2,88,73,132,64,20,129,204,31,0,0,0,
