DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue
"99279",99279,0.500000,Mk10,,02:36:01 26-Apr-2014,02:36:31 26-Apr-2014,30,1,60.63027954,-178.11721802,CRC,0,0,,,,0.992,0.292,,-0.5,0.0,0,,,,,,,,,,,255,255,80,,,,,,,
"99279",99279,0.500000,Mk10,,02:38:16 26-Apr-2014,02:38:46 26-Apr-2014,30,1,60.63027954,-178.11721802,,0,0,,687,3.440,,,6.80,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,02:39:01 26-Apr-2014,02:39:31 26-Apr-2014,30,1,60.63027954,-178.11721802,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,02:39:46 26-Apr-2014,02:40:16 26-Apr-2014,30,1,60.63027954,-178.11721802,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,02:56:16 26-Apr-2014,02:56:46 26-Apr-2014,30,B,60.63055420,-178.11222839,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,03:47:02 26-Apr-2014,03:47:32 26-Apr-2014,30,3,60.63583374,-178.12638855,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,03:48:32 26-Apr-2014,03:49:02 26-Apr-2014,30,3,60.63583374,-178.12638855,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,03:50:02 26-Apr-2014,03:50:32 26-Apr-2014,30,3,60.63583374,-178.12638855,,1,0,,739,3.440,,,0.50,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,03:51:32 26-Apr-2014,03:52:02 26-Apr-2014,30,3,60.63583374,-178.12638855,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,03:53:02 26-Apr-2014,03:53:32 26-Apr-2014,30,3,60.63583374,-178.12638855,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,03:54:32 26-Apr-2014,03:55:02 26-Apr-2014,30,3,60.63583374,-178.12638855,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,03:59:02 26-Apr-2014,03:59:32 26-Apr-2014,30,3,60.63694382,-178.12611389,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:00:32 26-Apr-2014,04:01:02 26-Apr-2014,30,3,60.63694382,-178.12611389,CRC,1,0,,,,1.040,0.292,,-1.0,0.0,1,,,,,,,,,,,255,255,90,,,,,,,
"99279",99279,0.500000,Mk10,,04:02:02 26-Apr-2014,04:02:32 26-Apr-2014,30,3,60.63694382,-178.12611389,,1,0,,747,3.440,,,0.20,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:03:32 26-Apr-2014,04:04:02 26-Apr-2014,30,3,60.63694382,-178.12611389,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:05:02 26-Apr-2014,04:05:32 26-Apr-2014,30,3,60.63694382,-178.12611389,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:06:32 26-Apr-2014,04:07:02 26-Apr-2014,30,3,60.63694382,-178.12611389,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:08:02 26-Apr-2014,04:08:32 26-Apr-2014,30,3,60.63694382,-178.12611389,,1,0,,751,3.376,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:09:32 26-Apr-2014,04:10:02 26-Apr-2014,30,3,60.63694382,-178.12611389,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:11:02 26-Apr-2014,04:11:32 26-Apr-2014,30,3,60.63694382,-178.12611389,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:27:32 26-Apr-2014,04:28:02 26-Apr-2014,30,3,60.63999939,-178.13000488,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:29:02 26-Apr-2014,04:29:32 26-Apr-2014,30,3,60.63999939,-178.13000488,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:30:32 26-Apr-2014,04:31:02 26-Apr-2014,30,3,60.63999939,-178.13000488,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:32:18 26-Apr-2014,04:32:32 26-Apr-2014,14,3,60.63999939,-178.13000488,,1,0,,4733,3.120,,,-0.20,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:33:32 26-Apr-2014,04:34:02 26-Apr-2014,30,3,60.63999939,-178.13000488,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:35:02 26-Apr-2014,04:35:32 26-Apr-2014,30,3,60.63999939,-178.13000488,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:36:32 26-Apr-2014,04:37:02 26-Apr-2014,30,3,60.63999939,-178.13000488,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:38:02 26-Apr-2014,04:38:32 26-Apr-2014,30,2,60.63527679,-178.12971497,,1,0,,771,3.376,,,-0.20,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:39:32 26-Apr-2014,04:40:02 26-Apr-2014,30,2,60.64138794,-178.13139343,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:41:02 26-Apr-2014,04:41:32 26-Apr-2014,30,2,60.64138794,-178.13139343,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,04:42:32 26-Apr-2014,04:43:02 26-Apr-2014,30,2,60.64138794,-178.13139343,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:30:32 26-Apr-2014,05:31:02 26-Apr-2014,30,B,60.63944626,-178.13638306,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:41:02 26-Apr-2014,05:41:32 26-Apr-2014,30,2,60.63694382,-178.12805176,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:44:02 26-Apr-2014,05:44:32 26-Apr-2014,30,2,60.63694382,-178.12805176,,1,0,,815,3.376,,,-0.40,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:45:32 26-Apr-2014,05:46:02 26-Apr-2014,30,2,60.63694382,-178.12805176,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:47:02 26-Apr-2014,05:47:32 26-Apr-2014,30,2,60.63694382,-178.12805176,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:48:32 26-Apr-2014,05:49:02 26-Apr-2014,30,2,60.63694382,-178.12805176,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:50:02 26-Apr-2014,05:50:32 26-Apr-2014,30,2,60.63694382,-178.12805176,,1,0,,819,3.312,,,-0.90,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,05:51:33 26-Apr-2014,05:52:03 26-Apr-2014,30,2,60.63694382,-178.12805176,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:08:04 26-Apr-2014,06:08:34 26-Apr-2014,30,3,60.63444519,-178.14138794,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:09:01 26-Apr-2014,06:09:31 26-Apr-2014,30,3,60.63444519,-178.14138794,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:08:50 26-Apr-2014,06:11:18 26-Apr-2014,148,3,60.63444519,-178.14138794,,0,0,,8806,3.312,,,-1.50,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:12:02 26-Apr-2014,06:12:33 26-Apr-2014,31,3,60.63444519,-178.14138794,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:13:01 26-Apr-2014,06:13:31 26-Apr-2014,30,3,60.63444519,-178.14138794,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:14:24 26-Apr-2014,06:14:55 26-Apr-2014,31,3,60.63444519,-178.14138794,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:15:22 26-Apr-2014,06:15:52 26-Apr-2014,30,3,60.63444519,-178.14138794,,0,0,,835,3.312,,,-1.50,,,,,,,,,,,,,,,,,,,,,,,
"99279",99279,0.500000,Mk10,,06:18:02 26-Apr-2014,06:18:33 26-Apr-2014,31,3,60.63444519,-178.14138794,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
