DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"66978",66978,Mk10,DS,7,0,1,89,89,08:51:10 30-Apr-2014,L,3,61.33305740,-177.86250305,,,,,401677285,,
"66978",66978,Mk10,DS,7,0,0,504,89,09:05:15 30-Apr-2014,R,2,61.33139038,-177.85694885,,,,,401677287,,
"66978",66978,Mk10,DS,2,0,1,89,89,09:06:00 30-Apr-2014,B,A,61.33472061,-177.86332703,,,,,401677289,,
"66978",66978,Mk10,DS,6,0,2,9788,89,10:29:48 30-Apr-2014,L,A,61.35277939,-177.88305664,,,,,401677290,,
"66978",66978,Mk10,DS,1,0,0,,,00:19:33 01-May-2014,L,B,61.46361160,-178.00889587,,,,,401677236,,
"66978",66978,Mk10,DS,3,0,1,133,89,00:23:16 01-May-2014,K,A,61.48277664,-177.97778320,,,,,401677242,,
"66978",66978,Mk10,DS,3,0,0,89,89,01:12:57 01-May-2014,N,A,61.48361206,-178.01972961,,,,,401677238,,
"66978",66978,Mk10,DS,4,0,3,118,89,01:40:24 01-May-2014,P,2,61.48944473,-178.01611328,,,,,401677251,,
"66978",66978,Mk10,DS,8,0,2,508,89,02:01:54 01-May-2014,K,B,61.49027634,-178.02111816,,,,,401677246,,
"66978",66978,Mk10,DS,1,0,1,,,03:36:50 01-May-2014,L,B,61.52166748,-178.00860596,,,,,401677253,,
"66978",66978,Mk10,DS,1,0,0,,,03:45:44 01-May-2014,K,B,61.53499985,-178.01972961,,,,,401677245,,
"66978",66978,Mk10,DS,1,0,0,,,03:45:44 01-May-2014,K,B,61.52222061,-177.99360657,,,,,401677251,,
"66978",66978,Mk10,DS,4,0,0,89,89,04:35:26 01-May-2014,N,1,61.52027893,-178.06777954,,,,,401677269,,
"66978",66978,Mk10,DS,2,0,0,89,89,04:35:26 01-May-2014,A,B,61.55611038,-177.99082947,,,,,401677282,,
"66978",66978,Mk10,DS,4,0,0,118,89,05:16:36 01-May-2014,R,2,61.54083252,-178.08193970,,,,,401677258,,
"66978",66978,Mk10,DS,4,0,0,89,89,05:17:43 01-May-2014,L,2,61.54138947,-178.08361816,,,,,401677266,,
"66978",66978,Mk10,DS,2,0,0,89,89,05:24:23 01-May-2014,K,A,61.53638840,-178.09111023,,,,,401677256,,
"66978",66978,Mk10,DS,6,0,1,89,89,06:08:09 01-May-2014,A,2,61.54833221,-178.12055969,,,,,401677271,,
"66978",66978,Mk10,DS,3,0,0,286,285,06:55:01 01-May-2014,L,A,61.55666733,-178.14639282,,,,,401677309,,
"66978",66978,Mk10,DS,3,0,0,286,285,06:57:24 01-May-2014,R,A,61.56583405,-178.12971497,,,,,401677308,,
"66978",66978,Mk10,DS,2,0,0,484,484,07:06:11 01-May-2014,B,B,61.56277847,-178.12916565,,,,,401677314,,
"66978",66978,Mk10,DS,1,0,1,,,07:06:57 01-May-2014,K,B,61.56222153,-178.14555359,,,,,401677318,,
"66978",66978,Mk10,DS,2,0,0,261,261,07:47:08 01-May-2014,A,B,61.57110977,-178.15722656,,,,,401677317,,
"66978",66978,Mk10,DS,9,0,3,82,44,08:29:08 01-May-2014,R,3,61.59222412,-178.10110474,,,,,401677313,,
"66978",66978,Mk10,DS,7,0,3,124,45,08:31:46 01-May-2014,L,3,61.59027863,-178.09472656,,,,,401677315,,
"66978",66978,Mk10,DS,4,0,1,255,115,08:40:04 01-May-2014,B,1,61.59249878,-178.07472229,,,,,401677315,,
"66978",66978,Mk10,DS,4,0,0,153,127,09:28:39 01-May-2014,A,2,61.60638809,-178.07695007,,,,,401677319,,
"66978",66978,Mk10,DS,3,0,0,133,89,00:06:14 02-May-2014,L,A,61.73611069,-178.03083801,,,,,401677182,,
"66978",66978,Mk10,DS,3,0,1,133,89,00:52:13 02-May-2014,A,A,61.74777603,-178.03916931,,,,,401677243,,
"66978",66978,Mk10,DS,6,0,0,89,89,01:01:51 02-May-2014,N,3,61.74277878,-178.04083252,,,,,401677256,,
"66978",66978,Mk10,DS,7,0,2,103,89,01:30:02 02-May-2014,P,3,61.74861145,-178.04138184,,,,,401677258,,
"66978",66978,Mk10,DS,4,0,0,89,89,01:40:25 02-May-2014,K,2,61.74777603,-178.03833008,,,,,401677256,,
"66978",66978,Mk10,DS,4,0,2,89,89,01:44:52 02-May-2014,L,1,61.75583267,-178.04750061,,,,,401677256,,
"66978",66978,Mk10,DS,3,0,0,89,89,02:33:49 02-May-2014,A,A,61.75833511,-178.05082703,,,,,401677252,,
"66978",66978,Mk10,DS,7,0,0,89,89,02:47:10 02-May-2014,N,1,61.75527954,-178.04527283,,,,,401677253,,
"66978",66978,Mk10,DS,1,0,1,,,03:07:12 02-May-2014,P,B,61.74833298,-178.04138184,,,,,401677254,,
"66978",66978,Mk10,DS,6,0,0,106,89,03:18:34 02-May-2014,K,2,61.75860977,-178.03833008,,,,,401677250,,
"66978",66978,Mk10,DS,4,0,1,89,89,03:23:31 02-May-2014,L,1,61.75999832,-178.03054810,,,,,401677250,,
"66978",66978,Mk10,DS,3,0,0,89,89,04:12:28 02-May-2014,A,A,61.77583313,-178.05583191,,,,,401677253,,
"66978",66978,Mk10,DS,4,0,2,148,89,04:26:48 02-May-2014,N,2,61.76555634,-178.03416443,,,,,401677253,,
"66978",66978,Mk10,DS,5,0,0,89,89,04:43:37 02-May-2014,R,2,61.76305389,-178.03472900,,,,,401677252,,
"66978",66978,Mk10,DS,5,0,0,89,89,04:59:56 02-May-2014,K,3,61.76833344,-178.04556274,,,,,401677251,,
"66978",66978,Mk10,DS,2,0,1,89,89,05:05:07 02-May-2014,L,B,61.76444626,-178.03083801,,,,,401677252,,
"66978",66978,Mk10,DS,4,0,0,89,89,05:52:35 02-May-2014,A,2,61.76527786,-178.04666138,,,,,401677246,,
"66978",66978,Mk10,DS,6,0,0,106,89,06:25:43 02-May-2014,R,3,61.77500153,-178.04306030,,,,,401677242,,
"66978",66978,Mk10,DS,7,0,1,103,89,06:41:32 02-May-2014,L,1,61.77333450,-178.05999756,,,,,401677247,,
"66978",66978,Mk10,DS,2,0,2,89,89,06:43:46 02-May-2014,B,A,61.77944565,-178.05278015,,,,,401677248,,
"66978",66978,Mk10,DS,13,0,1,215,89,07:27:31 02-May-2014,A,1,61.78472137,-178.02667236,,,,,401677256,,
"66978",66978,Mk10,DS,9,0,2,89,89,08:24:38 02-May-2014,B,1,61.79333496,-178.01638794,,,,,401677251,,
"66978",66978,Mk10,DS,2,0,0,89,89,00:00:19 03-May-2014,L,B,61.81722260,-177.99333191,,,,,401677276,,
"66978",66978,Mk10,DS,4,0,2,89,89,00:35:10 03-May-2014,A,2,61.81555557,-177.99417114,,,,,401677220,,
"66978",66978,Mk10,DS,4,0,1,89,89,00:50:45 03-May-2014,N,2,61.82083511,-177.99806213,,,,,401677253,,
