DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"39498",39498,Mk10,DS,2,0,1,45,45,09:17:09 28-Apr-2014,L,B,60.90277863,-178.44139099,,,,,401677458,,
"39498",39498,Mk10,DS,1,0,0,,,10:06:23 28-Apr-2014,R,B,60.91027832,-178.44055176,,,,,401677408,,
"39498",39498,Mk10,DS,6,0,0,126,90,00:20:10 29-Apr-2014,P,0,60.94555664,-178.42250061,,,,,401677275,,
"39498",39498,Mk10,DS,4,0,3,150,90,00:15:22 29-Apr-2014,A,1,60.93722153,-178.37222290,,,,,401677275,,
"39498",39498,Mk10,DS,4,0,0,120,90,00:43:07 29-Apr-2014,L,1,60.94805527,-178.40916443,,,,,401677271,,
"39498",39498,Mk10,DS,3,0,0,90,90,01:12:22 29-Apr-2014,K,2,60.95972061,-178.40110779,,,,,401677279,,
"39498",39498,Mk10,DS,1,0,0,,,01:12:22 29-Apr-2014,K,B,60.94777679,-178.47193909,,,,,401677273,,
"39498",39498,Mk10,DS,5,0,1,112,90,01:34:07 29-Apr-2014,N,3,60.95722198,-178.40388489,,,,,401677287,,
"39498",39498,Mk10,DS,4,0,1,90,90,01:55:07 29-Apr-2014,A,1,60.95944595,-178.39639282,,,,,401677276,,
"39498",39498,Mk10,DS,4,0,1,90,90,02:02:37 29-Apr-2014,P,3,60.95916748,-178.39666748,,,,,401677276,,
"39498",39498,Mk10,DS,2,0,2,90,90,02:23:37 29-Apr-2014,L,B,60.96305466,-178.39694214,,,,,401677283,,
"39498",39498,Mk10,DS,5,0,0,90,90,02:52:52 29-Apr-2014,K,2,60.96500015,-178.39833069,,,,,401677292,,
"39498",39498,Mk10,DS,6,0,0,108,90,03:18:07 29-Apr-2014,N,2,60.97083282,-178.38194275,,,,,401677300,,
"39498",39498,Mk10,DS,4,0,2,90,90,03:37:07 29-Apr-2014,A,2,60.96083450,-178.40028381,,,,,401677307,,
"39498",39498,Mk10,DS,2,0,1,90,90,04:05:37 29-Apr-2014,L,B,60.97083282,-178.38389587,,,,,401677315,,
"39498",39498,Mk10,DS,8,0,1,102,90,04:25:52 29-Apr-2014,K,3,60.98333359,-178.35916138,,,,,401677319,,
"39498",39498,Mk10,DS,7,0,1,210,90,04:39:22 29-Apr-2014,R,3,60.98055649,-178.37055969,,,,,401677320,,
"39498",39498,Mk10,DS,1,0,1,,,05:03:22 29-Apr-2014,N,B,60.97916794,-178.36749268,,,,,401677321,,
"39498",39498,Mk10,DS,6,0,4,108,90,05:09:22 29-Apr-2014,A,3,60.98777771,-178.35556030,,,,,401677319,,
"39498",39498,Mk10,DS,2,0,0,90,90,05:40:07 29-Apr-2014,L,B,60.98694611,-178.35110474,,,,,401677325,,
"39498",39498,Mk10,DS,5,0,1,90,90,06:13:52 29-Apr-2014,K,1,60.99583435,-178.30805969,,,,,401677326,,
"39498",39498,Mk10,DS,5,0,1,112,90,06:21:04 29-Apr-2014,R,2,60.99805450,-178.31889343,,,,,401677329,,
"39498",39498,Mk10,DS,7,0,1,90,90,06:49:07 29-Apr-2014,A,2,60.99388885,-178.30583191,,,,,401677353,,
"39498",39498,Mk10,DS,2,0,0,45,45,07:24:33 29-Apr-2014,L,B,60.99583435,-178.29499817,,,,,401677435,,
"39498",39498,Mk10,DS,1,0,0,,,08:00:02 29-Apr-2014,R,B,60.99694443,-178.29028320,,,,,401677443,,
"39498",39498,Mk10,DS,2,0,1,45,45,08:34:00 29-Apr-2014,A,B,61.00472260,-178.28027344,,,,,401677452,,
"39498",39498,Mk10,DS,1,0,0,,,08:59:27 29-Apr-2014,L,B,61.00527954,-178.28222656,,,,,401677450,,
"39498",39498,Mk10,DS,3,0,2,185,180,09:28:53 29-Apr-2014,B,A,61.00638962,-178.29028320,,,,,401677449,,
"39498",39498,Mk10,DS,2,0,1,360,360,09:35:41 29-Apr-2014,R,B,61.01444626,-178.28721619,,,,,401677445,,
"39498",39498,Mk10,DS,2,0,0,90,90,00:01:08 30-Apr-2014,A,B,60.99444580,-178.45555115,,,,,401677399,,
"39498",39498,Mk10,DS,4,0,0,92,45,00:10:36 30-Apr-2014,P,1,60.99888992,-178.45416260,,,,,401677426,,
"39498",39498,Mk10,DS,5,0,2,45,45,00:29:03 30-Apr-2014,L,0,61.01555634,-178.36944580,,,,,401677433,,
