DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"99280",99280,Mk10,03:12:09 28-Apr-2014,,B,,,,Too short,00:00:00 12-Apr-2014,Status,0,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99280",99280,Mk10,03:54:52 28-Apr-2014,,P,B,60.64666748,-178.10110474,CRC 55398.39218,07:54:45 28-Apr-2014,Status,0,1,56,125,173,216,102,,,,,,,,,,,,,,,,,,,,,,,,,
"99280",99280,Mk10,04:51:05 28-Apr-2014,,K,3,60.64361191,-178.14305115,CRC 57758.41374,02:36:00 28-Apr-2014,Behavior,190,25,233,56,41,59,211,192,70,66,51,148,99,2,109,191,248,33,138,193,13,192,8,6,0,120,0,74,22,64,0,
"99280",99280,Mk10,09:48:31 28-Apr-2014,,B,A,60.70277786,-178.20416260,CRC 19768.34829,04:08:00 28-Apr-2011,Behavior,180,211,141,56,66,62,136,14,100,197,67,8,49,28,33,138,81,188,121,175,145,31,223,241,146,168,80,142,36,149,1,
"99280",99280,Mk10,20:18:27 28-Apr-2014,,K,A,60.87388992,-178.20138550,CRC 26441.17698,12:10:00 30-Apr-2014,Behavior,182,116,153,60,194,160,68,36,25,82,1,18,33,3,176,18,176,204,194,16,249,142,138,128,36,44,75,83,225,64,0,
"99280",99280,Mk10,00:22:56 29-Apr-2014,,A,2,60.88666534,-178.19805908,CRC 59587.59651,,Behavior,190,140,56,56,116,1,177,38,195,176,20,46,61,144,192,140,35,68,40,1,65,34,24,118,2,168,75,48,216,0,0,
"99280",99280,Mk10,00:42:39 29-Apr-2014,,L,A,60.88083267,-178.19250488,CRC 56582.23814,15:13:00 28-Apr-2014,Behavior,189,208,105,56,243,65,177,7,3,16,12,89,182,16,0,60,193,176,148,2,246,117,135,0,40,60,60,10,0,0,0,
"99280",99280,Mk10,01:41:48 29-Apr-2014,,N,2,60.88833237,-178.20832825,CRC 50894.28400,02:00:00 12-Apr-2014,Percent,236,108,233,24,38,1,70,66,66,33,198,43,202,183,15,241,2,3,40,186,128,225,38,84,134,144,0,,,,,
"99280",99280,Mk10,02:00:00 29-Apr-2014,,A,B,60.88861084,-178.20832825,CRC 58616.33399,14:29:00 28-Apr-2014,Behavior,190,79,137,56,231,65,157,50,194,224,13,248,24,81,128,93,199,176,148,35,154,6,4,0,40,164,36,8,0,0,144,
"99280",99280,Mk10,04:30:52 29-Apr-2014,,K,B,60.93416595,-178.19500732,CRC 33377.52744,20:45:00 28-Apr-2014,Behavior,184,38,25,57,75,64,67,54,72,66,14,56,120,86,12,45,200,81,160,16,109,203,158,100,54,132,209,156,138,217,113,
"99280",99280,Mk10,04:43:16 29-Apr-2014,,R,B,60.93555450,-178.19444275,CRC 19768.19000,04:08:00 28-Apr-2011,Behavior,180,211,141,56,66,58,136,10,100,197,67,8,49,20,32,142,65,156,113,176,46,128,96,15,37,80,161,28,73,42,2,
"99280",99280,Mk10,05:42:31 29-Apr-2014,,L,B,60.97944260,-178.19360352,CRC 23814.35981,15:13:00 28-Apr-2014,Behavior,181,208,105,56,243,65,177,7,3,16,12,89,182,16,19,70,48,149,201,6,3,136,35,72,17,86,34,237,10,78,150,
"99280",99280,Mk10,06:49:04 29-Apr-2014,,A,A,61.00500107,-178.19082642,CRC 41022.23719,06:33:00 28-May-2012,Behavior,186,3,225,120,104,66,104,172,215,254,181,69,60,153,176,19,241,68,34,0,80,135,68,114,193,84,153,137,0,0,0,
"99280",99280,Mk10,07:24:36 29-Apr-2014,,L,B,61.02500153,-178.19305420,CRC 39630.45643,03:00:00 05-Apr-2014,DiveDuration,73,172,233,10,62,0,4,67,70,152,252,253,251,157,186,133,134,17,83,21,17,52,13,110,210,1,244,,,,,
"99280",99280,Mk10,14:31:47 29-Apr-2014,,R,1,61.00138855,-178.27055359,CRC 23297.23322,05:22:00 29-Apr-2014,Behavior,181,176,25,58,85,130,137,71,176,136,5,33,1,129,72,10,71,62,194,32,15,208,86,17,0,117,129,48,140,36,0,
"99280",99280,Mk10,00:15:22 30-Apr-2014,,P,3,61.02416611,-178.43333435,CRC 35425.19401,05:13:00 28-Apr-2014,Behavior,184,166,25,56,83,72,83,54,76,66,14,104,88,211,38,79,216,16,80,73,154,54,10,24,6,132,243,14,0,0,0,
"99280",99280,Mk10,01:46:22 30-Apr-2014,,P,3,61.03805542,-178.48971558,CRC 47853.57269,17:45:00 28-Apr-2014,Behavior,187,174,217,57,27,65,177,7,2,144,5,40,196,21,0,104,67,81,8,19,238,50,24,160,25,81,176,39,0,0,0,
"99280",99280,Mk10,08:10:16 30-Apr-2014,,A,B,61.10694504,-178.64916992,CRC 50892.23606,,,236,108,201,56,98,0,4,66,78,223,241,143,143,246,248,85,36,70,69,250,239,113,31,208,158,22,212,,,,,
"99280",99280,Mk10,14:02:22 30-Apr-2014,,R,2,61.09249878,-178.76943970,CRC 45975.46999,00:00:00 29-Apr-2014,Percent,235,57,121,58,7,147,38,76,132,64,4,2,20,160,48,193,70,177,201,147,36,240,75,48,3,154,0,,,,,
"99280",99280,Mk10,15:36:30 30-Apr-2014,,P,3,61.09833145,-178.79249573,CRC 9625.2649,07:08:00 29-Apr-2014,Behavior,178,89,153,58,114,1,100,16,129,176,13,64,192,15,128,113,165,192,252,2,68,9,67,32,27,169,8,29,0,0,0,
"99280",99280,Mk10,16:06:50 30-Apr-2014,,K,3,61.10111237,-178.80221558,CRC 46684.46716,10:19:00 28-Apr-2014,Behavior,187,101,201,56,164,193,191,46,148,228,3,134,81,13,128,43,202,107,27,128,40,225,208,110,1,223,52,132,104,0,0,
