DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"99280",99280,Mk10,03:15:30 28-Apr-2014,Argos,1,60.65166855,-178.09638977,927,2800,306,63,,,,,
"99280",99280,Mk10,03:30:04 28-Apr-2014,Argos,B,60.65027618,-178.09750366,1645,3436,787,76,,,,,
"99280",99280,Mk10,03:33:27 28-Apr-2014,Argos,3,60.64222336,-178.10110474,193,923,40,81,,,,,
"99280",99280,Mk10,03:54:51 28-Apr-2014,Argos,B,60.64666748,-178.10110474,979,2074,461,86,,,,,
"99280",99280,Mk10,03:55:39 28-Apr-2014,Argos,A,60.64305496,-178.10610962,383,1141,128,98,,,,,
"99280",99280,Mk10,04:14:52 28-Apr-2014,Argos,B,60.63805389,-178.11833191,1082,3055,383,101,,,,,
"99280",99280,Mk10,04:53:51 28-Apr-2014,Argos,B,60.63805389,-178.11833191,1251,2899,539,97,,,,,
"99280",99280,Mk10,04:58:43 28-Apr-2014,Argos,3,60.64361191,-178.14305115,200,779,51,89,,,,,
"99280",99280,Mk10,05:10:36 28-Apr-2014,Argos,2,60.64749908,-178.15554810,432,473,394,65,,,,,
"99280",99280,Mk10,05:11:10 28-Apr-2014,Argos,A,60.64444351,-178.15277100,407,553,298,60,,,,,
"99280",99280,Mk10,05:32:17 28-Apr-2014,Argos,B,60.64749908,-178.15583801,451,714,285,88,,,,,
"99280",99280,Mk10,05:57:57 28-Apr-2014,Argos,B,60.64749908,-178.15554810,1040,1823,593,89,,,,,
"99280",99280,Mk10,06:31:44 28-Apr-2014,Argos,A,60.65999985,-178.17166138,2032,5601,737,69,,,,,
"99280",99280,Mk10,06:40:13 28-Apr-2014,Argos,A,60.66333389,-178.15611267,1077,4250,272,80,,,,,
"99280",99280,Mk10,06:50:37 28-Apr-2014,Argos,2,60.67555618,-178.17277527,291,3922,21,98,,,,,
"99280",99280,Mk10,07:09:05 28-Apr-2014,Argos,3,60.68333435,-178.20222473,191,563,64,64,,,,,
"99280",99280,Mk10,07:35:37 28-Apr-2014,Argos,A,60.68638992,-178.19667053,208,1138,38,82,,,,,
"99280",99280,Mk10,08:05:01 28-Apr-2014,Argos,B,60.70138931,-178.23472595,347,701,171,87,,,,,
"99280",99280,Mk10,08:32:23 28-Apr-2014,Argos,B,60.70027924,-178.23388672,759,1672,344,102,,,,,
"99280",99280,Mk10,08:47:08 28-Apr-2014,Argos,1,60.69305420,-178.19694519,695,6523,74,85,,,,,
"99280",99280,Mk10,09:16:01 28-Apr-2014,Argos,A,60.69527817,-178.20472717,403,2180,74,101,,,,,
"99280",99280,Mk10,09:48:08 28-Apr-2014,Argos,A,60.70277786,-178.20416260,421,1549,114,108,,,,,
"99280",99280,Mk10,10:05:55 28-Apr-2014,Argos,B,60.70611191,-178.20639038,476,1413,160,106,,,,,
"99280",99280,Mk10,10:32:26 28-Apr-2014,Argos,2,60.70944595,-178.20777893,449,1363,147,120,,,,,
"99280",99280,Mk10,12:41:26 28-Apr-2014,Argos,3,60.72527695,-178.22749329,210,252,175,90,,,,,
"99280",99280,Mk10,13:19:45 28-Apr-2014,Argos,B,60.73083496,-178.23277283,347,570,211,93,,,,,
"99280",99280,Mk10,14:20:54 28-Apr-2014,Argos,B,60.73916626,-178.24000549,380,1118,129,67,,,,,
"99280",99280,Mk10,15:02:15 28-Apr-2014,Argos,B,60.75888824,-178.25750732,418,1537,113,76,,,,,
"99280",99280,Mk10,15:20:40 28-Apr-2014,Argos,B,60.75944519,-178.25778198,547,1710,174,77,,,,,
"99280",99280,Mk10,15:34:12 28-Apr-2014,Argos,A,60.78583145,-178.22805786,345,1476,80,119,,,,,
"99280",99280,Mk10,16:03:39 28-Apr-2014,Argos,B,60.78777695,-178.23056030,336,901,125,94,,,,,
"99280",99280,Mk10,16:41:54 28-Apr-2014,Argos,B,60.80138779,-178.24305725,454,963,213,100,,,,,
"99280",99280,Mk10,16:56:39 28-Apr-2014,Argos,2,60.80222321,-178.24333191,305,544,171,14,,,,,
"99280",99280,Mk10,17:17:17 28-Apr-2014,Argos,B,60.80527878,-178.24583435,527,1015,273,98,,,,,
"99280",99280,Mk10,17:43:36 28-Apr-2014,Argos,A,60.80138779,-178.24305725,494,1375,177,85,,,,,
"99280",99280,Mk10,18:18:37 28-Apr-2014,Argos,2,60.82333374,-178.20195007,412,520,326,102,,,,,
"99280",99280,Mk10,18:38:54 28-Apr-2014,Argos,B,60.82333374,-178.20195007,664,1221,360,91,,,,,
"99280",99280,Mk10,18:55:34 28-Apr-2014,Argos,2,60.84305573,-178.21249390,385,702,210,116,,,,,
"99280",99280,Mk10,19:18:28 28-Apr-2014,Argos,B,60.85805511,-178.21611023,735,1405,384,93,,,,,
"99280",99280,Mk10,19:48:05 28-Apr-2014,Argos,B,60.85361099,-178.21611023,1815,2263,1455,174,,,,,
"99280",99280,Mk10,20:09:18 28-Apr-2014,Argos,B,60.86999893,-178.21611023,1247,1340,1159,19,,,,,
"99280",99280,Mk10,20:20:20 28-Apr-2014,Argos,A,60.87388992,-178.20138550,328,803,133,65,,,,,
"99280",99280,Mk10,00:00:11 29-Apr-2014,Argos,B,60.97722244,-178.19583130,1199,2389,601,87,,,,,
"99280",99280,Mk10,00:16:52 29-Apr-2014,Argos,2,60.88666534,-178.19805908,351,900,136,87,,,,,
"99280",99280,Mk10,00:20:59 29-Apr-2014,Argos,2,60.88000107,-178.19055176,375,2665,52,78,,,,,
"99280",99280,Mk10,00:43:24 29-Apr-2014,Argos,A,60.88083267,-178.19250488,483,1913,122,91,,,,,
"99280",99280,Mk10,01:09:57 29-Apr-2014,Argos,B,60.89611053,-178.20222473,417,496,349,71,,,,,
"99280",99280,Mk10,01:34:13 29-Apr-2014,Argos,2,60.88833237,-178.20832825,409,986,169,74,,,,,
"99280",99280,Mk10,01:59:14 29-Apr-2014,Argos,B,60.88861084,-178.20832825,929,1986,434,85,,,,,
