DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"40862",40862,Mk10,23:10:57 20-Apr-2014,Argos,B,60.38555527,-177.82388306,3026,6135,1492,89,,,,,
"40862",40862,Mk10,23:43:50 20-Apr-2014,Argos,B,60.36916733,-177.81889343,871,15873,47,98,,,,,
"40862",40862,Mk10,00:07:18 21-Apr-2014,Argos,3,60.37027740,-177.88444519,194,1055,35,77,,,,,
"40862",40862,Mk10,00:35:10 21-Apr-2014,Argos,B,60.36805725,-177.88806152,251,831,75,104,,,,,
"40862",40862,Mk10,00:43:58 21-Apr-2014,Argos,A,60.36694336,-177.88166809,375,1195,117,82,,,,,
"40862",40862,Mk10,01:08:50 21-Apr-2014,Argos,B,60.36722183,-177.88444519,500,1135,220,85,,,,,
"40862",40862,Mk10,01:25:33 21-Apr-2014,Argos,B,60.36750031,-177.88471985,482,1060,218,86,,,,,
"40862",40862,Mk10,01:25:33 21-Apr-2014,Argos,B,60.36805725,-177.88444519,592,1331,262,86,,,,,
"40862",40862,Mk10,01:51:18 21-Apr-2014,Argos,2,60.38360977,-177.82139587,359,1255,102,95,,,,,
"40862",40862,Mk10,01:51:18 21-Apr-2014,Argos,1,60.37749863,-177.85888672,958,6618,138,83,,,,,
"40862",40862,Mk10,02:23:07 21-Apr-2014,Argos,B,60.38888931,-177.82278442,1097,2552,471,89,,,,,
"40862",40862,Mk10,02:44:23 21-Apr-2014,Argos,B,60.38888931,-177.82333374,1298,2852,590,89,,,,,
"40862",40862,Mk10,02:44:23 21-Apr-2014,Argos,3,60.38916779,-177.85610962,136,323,57,79,,,,,
"40862",40862,Mk10,04:30:21 21-Apr-2014,Argos,3,60.39694595,-177.88945007,170,555,51,90,,,,,
"40862",40862,Mk10,04:40:59 21-Apr-2014,Argos,2,60.39611053,-177.89111328,416,1148,150,91,,,,,
"40862",40862,Mk10,04:48:34 21-Apr-2014,Argos,1,60.39694595,-177.89916992,517,1028,259,125,,,,,
"40862",40862,Mk10,05:30:25 21-Apr-2014,Argos,3,60.40250015,-177.92333984,189,401,88,91,,,,,
"40862",40862,Mk10,06:11:11 21-Apr-2014,Argos,2,60.40666580,-177.92721558,461,577,368,68,,,,,
"40862",40862,Mk10,07:16:40 21-Apr-2014,Argos,B,60.41500092,-177.95527649,533,1088,261,89,,,,,
"40862",40862,Mk10,07:16:40 21-Apr-2014,Argos,B,60.41527939,-177.95443726,533,1093,259,89,,,,,
"40862",40862,Mk10,08:04:44 21-Apr-2014,Argos,B,60.41777802,-177.96305847,941,3010,294,104,,,,,
"40862",40862,Mk10,08:50:55 21-Apr-2014,Argos,A,60.39666748,-177.94194031,526,996,278,141,,,,,
"40862",40862,Mk10,08:52:42 21-Apr-2014,Argos,2,60.39611053,-177.93804932,290,2026,41,85,,,,,
"40862",40862,Mk10,09:00:14 21-Apr-2014,Argos,3,60.39694595,-177.96166992,146,510,41,90,,,,,
"40862",40862,Mk10,09:34:13 21-Apr-2014,Argos,2,60.39638901,-177.96861267,341,1030,113,92,,,,,
"40862",40862,Mk10,00:00:40 22-Apr-2014,Argos,A,60.39916611,-178.19999695,2832,11677,687,55,,,,,
"40862",40862,Mk10,00:26:20 22-Apr-2014,Argos,3,60.33444595,-178.30416870,234,582,93,87,,,,,
"40862",40862,Mk10,00:43:56 22-Apr-2014,Argos,A,60.33416748,-178.31361389,375,738,189,100,,,,,
"40862",40862,Mk10,01:00:04 22-Apr-2014,Argos,A,60.34166718,-178.31916809,487,1827,129,95,,,,,
"40862",40862,Mk10,01:14:44 22-Apr-2014,Argos,3,60.34305573,-178.34750366,231,425,125,70,,,,,
"40862",40862,Mk10,01:39:05 22-Apr-2014,Argos,3,60.34583282,-178.35249329,221,689,70,92,,,,,
