DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"99279",99279,Mk10,DS,4,0,0,75,45,02:38:46 26-Apr-2014,P,1,60.63027954,-178.11721802,,,,,401677394,,
"99279",99279,Mk10,DS,2,0,1,270,270,02:56:46 26-Apr-2014,A,B,60.63055420,-178.11222839,,,,,401677388,,
"99279",99279,Mk10,DS,6,0,0,90,90,03:51:17 26-Apr-2014,N,3,60.63583374,-178.12638855,,,,,401677387,,
"99279",99279,Mk10,DS,9,0,0,90,90,03:59:32 26-Apr-2014,K,3,60.63694382,-178.12611389,,,,,401677387,,
"99279",99279,Mk10,DS,7,0,0,90,90,04:32:32 26-Apr-2014,R,3,60.63999939,-178.13000488,,,,,401677387,,
"99279",99279,Mk10,DS,4,0,0,90,90,04:36:17 26-Apr-2014,A,2,60.63527679,-178.12971497,,,,,401677387,,
"99279",99279,Mk10,DS,6,0,0,90,90,04:36:17 26-Apr-2014,L,2,60.64138794,-178.13139343,,,,,401677387,,
"99279",99279,Mk10,DS,2,0,1,180,180,05:32:32 26-Apr-2014,N,B,60.63944626,-178.13638306,,,,,401677388,,
"99279",99279,Mk10,DS,8,0,1,90,90,05:48:17 26-Apr-2014,K,2,60.63694382,-178.12805176,,,,,401677390,,
"99279",99279,Mk10,DS,9,0,0,82,57,06:13:49 26-Apr-2014,R,3,60.63444519,-178.14138794,,,,,401677405,,
"99279",99279,Mk10,DS,7,0,0,82,57,06:11:18 26-Apr-2014,A,3,60.63555527,-178.13305664,,,,,401677403,,
"99279",99279,Mk10,DS,4,0,0,134,60,06:18:39 26-Apr-2014,L,2,60.63416672,-178.12750244,,,,,401677407,,
"99279",99279,Mk10,DS,7,0,0,108,48,07:06:30 26-Apr-2014,B,3,60.60305405,-178.11222839,,,,,401677406,,
"99279",99279,Mk10,DS,6,0,0,90,90,07:51:54 26-Apr-2014,R,3,60.58861160,-178.12333679,,,,,401677397,,
"99279",99279,Mk10,DS,8,0,0,90,90,07:51:09 26-Apr-2014,A,2,60.58972168,-178.11555481,,,,,401677396,,
"99279",99279,Mk10,DS,9,0,1,90,90,07:58:39 26-Apr-2014,L,2,60.58805466,-178.11999512,,,,,401677395,,
"99279",99279,Mk10,DS,5,0,0,111,98,08:51:45 26-Apr-2014,B,3,60.57860947,-178.12693787,,,,,401677401,,
"99279",99279,Mk10,DS,2,0,0,178,178,09:29:27 26-Apr-2014,R,B,60.56583405,-178.13333130,,,,,401677404,,
