DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"99279",99279,Mk10,02:38:46 26-Apr-2014,Argos,1,60.63027954,-178.11721802,800,12057,53,88,,,,,
"99279",99279,Mk10,02:56:46 26-Apr-2014,Argos,B,60.63055420,-178.11222839,739,6642,82,88,,,,,
"99279",99279,Mk10,03:51:17 26-Apr-2014,Argos,3,60.63583374,-178.12638855,133,320,54,90,,,,,
"99279",99279,Mk10,03:59:32 26-Apr-2014,Argos,3,60.63694382,-178.12611389,167,1077,25,81,,,,,
"99279",99279,Mk10,04:32:32 26-Apr-2014,Argos,3,60.63999939,-178.13000488,194,369,102,105,,,,,
"99279",99279,Mk10,04:36:17 26-Apr-2014,Argos,2,60.63527679,-178.12971497,316,1013,98,110,,,,,
"99279",99279,Mk10,04:36:17 26-Apr-2014,Argos,2,60.64138794,-178.13139343,331,740,148,102,,,,,
"99279",99279,Mk10,05:32:32 26-Apr-2014,Argos,B,60.63944626,-178.13638306,374,540,258,119,,,,,
"99279",99279,Mk10,05:48:17 26-Apr-2014,Argos,2,60.63694382,-178.12805176,252,452,140,88,,,,,
"99279",99279,Mk10,06:11:18 26-Apr-2014,Argos,3,60.63555527,-178.13305664,154,325,72,93,,,,,
"99279",99279,Mk10,06:13:49 26-Apr-2014,Argos,3,60.63444519,-178.14138794,201,667,60,93,,,,,
"99279",99279,Mk10,06:18:39 26-Apr-2014,Argos,2,60.63416672,-178.12750244,401,689,233,87,,,,,
"99279",99279,Mk10,07:06:30 26-Apr-2014,Argos,3,60.60305405,-178.11222839,215,631,73,87,,,,,
"99279",99279,Mk10,07:51:09 26-Apr-2014,Argos,2,60.58972168,-178.11555481,337,1982,57,77,,,,,
"99279",99279,Mk10,07:51:54 26-Apr-2014,Argos,3,60.58861160,-178.12333679,178,649,49,88,,,,,
"99279",99279,Mk10,07:58:39 26-Apr-2014,Argos,2,60.58805466,-178.11999512,309,1759,54,78,,,,,
"99279",99279,Mk10,08:51:45 26-Apr-2014,Argos,3,60.57860947,-178.12693787,245,1405,42,79,,,,,
"99279",99279,Mk10,09:29:27 26-Apr-2014,Argos,B,60.56583405,-178.13333130,653,2049,207,100,,,,,
"99279",99279,Mk10,09:30:56 26-Apr-2014,Argos,A,60.56000137,-178.13139343,370,966,141,105,,,,,
"99279",99279,Mk10,09:42:36 26-Apr-2014,Argos,2,60.55472183,-178.12693787,465,1253,172,91,,,,,
"99279",99279,Mk10,10:30:02 26-Apr-2014,Argos,B,60.54055405,-178.13694763,416,934,185,89,,,,,
"99279",99279,Mk10,11:08:50 26-Apr-2014,Argos,B,60.53250122,-178.13888550,415,951,181,85,,,,,
"99279",99279,Mk10,11:17:58 26-Apr-2014,Argos,B,60.53305435,-178.13777161,430,951,194,86,,,,,
"99279",99279,Mk10,11:20:56 26-Apr-2014,Argos,A,60.52639008,-178.12306213,1519,3681,626,109,,,,,
"99279",99279,Mk10,12:45:04 26-Apr-2014,Argos,B,60.49916840,-178.12777710,2473,4954,1234,96,,,,,
"99279",99279,Mk10,13:01:32 26-Apr-2014,Argos,2,60.47527695,-178.07167053,257,412,159,73,,,,,
"99279",99279,Mk10,00:34:43 27-Apr-2014,Argos,B,60.25305557,-178.12055969,1461,2986,715,89,,,,,
"99279",99279,Mk10,01:00:32 27-Apr-2014,Argos,B,60.46250153,-178.07110596,3582,7693,1668,4,,,,,
