DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue
"39482",39482,0.500000,Mk10,,03:39:58 27-Apr-2014,03:40:21 27-Apr-2014,23,2,60.65000153,-178.11805725,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,03:41:30 27-Apr-2014,03:41:53 27-Apr-2014,23,2,60.65000153,-178.11805725,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,03:43:02 27-Apr-2014,03:43:25 27-Apr-2014,23,2,60.65000153,-178.11805725,,1,0,,1717,3.504,,,2.80,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,03:44:34 27-Apr-2014,03:44:57 27-Apr-2014,23,2,60.65000153,-178.11805725,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,03:46:06 27-Apr-2014,03:46:29 27-Apr-2014,23,3,60.65250015,-178.10444641,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,03:58:35 27-Apr-2014,03:58:59 27-Apr-2014,24,A,60.65777588,-178.07110596,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,03:59:27 27-Apr-2014,03:59:51 27-Apr-2014,24,A,60.65777588,-178.07110596,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,04:05:16 27-Apr-2014,04:05:40 27-Apr-2014,24,A,60.65777588,-178.07110596,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,04:13:48 27-Apr-2014,04:14:11 27-Apr-2014,23,2,60.65999985,-178.10749817,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39482",39482,0.500000,Mk10,,04:14:35 27-Apr-2014,04:14:58 27-Apr-2014,23,2,60.65999985,-178.10749817,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
