DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"39482",39482,Mk10,DS,5,0,1,115,92,03:43:43 27-Apr-2014,K,2,60.65000153,-178.11805725,,,,,401677550,,
"39482",39482,Mk10,DS,5,0,0,92,92,03:45:43 27-Apr-2014,N,3,60.65250015,-178.10444641,,,,,401677551,,
"39482",39482,Mk10,DS,3,0,0,200,52,04:01:29 27-Apr-2014,R,A,60.65777588,-178.07110596,,,,,401677539,,
"39482",39482,Mk10,DS,1,0,0,,,04:05:39 27-Apr-2014,P,B,60.65055466,-178.11528015,,,,,401677542,,
"39482",39482,Mk10,DS,6,0,1,69,47,04:17:02 27-Apr-2014,A,2,60.65999985,-178.10749817,,,,,401677535,,
"39482",39482,Mk10,DS,1,0,1,,,04:26:24 27-Apr-2014,L,B,60.65999985,-178.10749817,,,,,401677535,,
"39482",39482,Mk10,DS,2,0,1,154,154,05:19:29 27-Apr-2014,K,B,60.65999985,-178.11889648,,,,,401677534,,
"39482",39482,Mk10,DS,4,2,0,,,05:42:59 27-Apr-2014,R,3,60.66138840,-178.11193848,,,,,401677536,,
"39482",39482,Mk10,DS,4,1,0,,,05:50:42 27-Apr-2014,A,2,60.66277695,-178.11610413,,,,,401677536,,
"39482",39482,Mk10,DS,4,1,0,,,06:02:06 27-Apr-2014,L,3,60.66666794,-178.11721802,,,,,401677538,,
"39482",39482,Mk10,DS,3,0,1,306,170,06:45:14 27-Apr-2014,B,A,60.67250061,-178.11193848,,,,,401677538,,
"39482",39482,Mk10,DS,1,0,1,,,07:04:24 27-Apr-2014,K,B,60.66027832,-178.10667419,,,,,401677544,,
"39482",39482,Mk10,DS,3,0,0,101,69,07:18:17 27-Apr-2014,R,A,60.67722321,-178.10388184,,,,,401677536,,
"39482",39482,Mk10,DS,1,0,1,,,07:30:45 27-Apr-2014,A,B,60.67472076,-178.11054993,,,,,401677539,,
"39482",39482,Mk10,DS,8,0,2,102,52,07:45:37 27-Apr-2014,L,2,60.68777847,-178.12445068,,,,,401677537,,
"39482",39482,Mk10,DS,4,0,3,165,138,08:29:57 27-Apr-2014,B,2,60.69638824,-178.12638855,,,,,401677537,,
"39482",39482,Mk10,DS,4,0,2,153,92,08:59:46 27-Apr-2014,R,1,60.69833374,-178.12333679,,,,,401677534,,
"39482",39482,Mk10,DS,6,0,1,110,92,09:12:02 27-Apr-2014,A,3,60.69916534,-178.12805176,,,,,401677532,,
"39482",39482,Mk10,DS,4,0,1,92,92,09:28:54 27-Apr-2014,L,3,60.69722366,-178.12971497,,,,,401677532,,
"39482",39482,Mk10,DS,3,0,1,92,92,10:06:28 27-Apr-2014,B,A,60.69583511,-178.12889099,,,,,401677531,,
"39482",39482,Mk10,DS,1,0,1,,,10:37:08 27-Apr-2014,R,B,60.69749832,-178.13000488,,,,,401677537,,
"39482",39482,Mk10,DS,3,0,1,92,92,10:58:36 27-Apr-2014,A,A,60.69305420,-178.12388611,,,,,401677541,,
"39482",39482,Mk10,DS,2,0,1,276,276,11:10:06 27-Apr-2014,L,B,60.70527649,-178.11694336,,,,,401677539,,
"39482",39482,Mk10,DS,1,0,1,,,12:16:48 27-Apr-2014,R,B,60.69694519,-178.12500000,,,,,401677537,,
"39482",39482,Mk10,DS,1,0,0,,,00:01:56 28-Apr-2014,K,B,60.76972198,-178.07666016,,,,,401677524,,
"39482",39482,Mk10,DS,5,0,0,92,92,00:08:04 28-Apr-2014,N,2,60.80166626,-178.16499329,,,,,401677509,,
