DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"39499",39499,Mk10,04:25:42 19-Apr-2014,,L,B,60.60111237,-176.93666077,CRC 18062.59074,00:50:00 19-Apr-2014,Behavior,180,104,233,38,12,188,92,136,10,168,88,16,128,102,2,192,128,3,88,22,8,64,25,16,113,101,66,38,29,117,230,
"39499",39499,Mk10,10:24:10 19-Apr-2014,,R,1,60.68138885,-177.08721924,CRC 17550.38636,00:50:00 19-Apr-2012,Behavior,180,72,225,38,12,188,92,136,10,168,92,153,42,90,86,234,128,75,92,83,34,2,51,41,19,31,182,74,13,160,149,
"39499",39499,Mk10,01:35:43 20-Apr-2014,,K,A,60.58222198,-177.19528198,CRC 6099.27159,08:00:00 19-Apr-2014,DiveDepth,49,125,57,38,130,64,135,0,145,64,7,218,85,110,63,36,132,69,180,145,74,215,191,49,67,69,52,148,178,96,136,
"39499",39499,Mk10,04:19:31 20-Apr-2014,,R,2,60.56638718,-177.23777771,CRC 10233.43001,07:28:00 19-Apr-2014,Behavior,178,127,153,38,119,2,143,8,160,108,5,0,0,96,216,10,36,14,129,144,6,96,52,11,128,65,36,48,200,16,0,
"39499",39499,Mk10,01:06:55 21-Apr-2014,,K,A,60.40611267,-177.41499329,CRC 20110.35857,00:50:00 19-Apr-2014,Behavior,180,232,233,38,12,188,92,136,10,168,216,16,128,102,2,192,128,3,88,22,8,64,25,16,113,101,66,47,160,160,0,
"39499",39499,Mk10,01:43:19 21-Apr-2014,,N,2,60.40666580,-177.42250061,CRC 43132.2095,01:43:08 21-Apr-2014,Status,6,1,42,26,200,168,124,52,112,66,192,69,1,140,81,253,36,0,64,,,,,,,,,,,,,
"39499",39499,Mk10,06:05:42 21-Apr-2014,,K,2,60.41583252,-177.54611206,CRC 2310.26078,00:00:00 20-Apr-2014,Percent,224,144,105,40,7,147,38,76,153,50,23,0,8,98,156,153,50,100,201,145,38,92,163,234,180,150,34,,,,,
"39499",39499,Mk10,06:13:17 21-Apr-2014,,K,2,60.41583252,-177.54611206,Too short,,Behavior,185,208,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39499",39499,Mk10,07:12:26 21-Apr-2014,,B,0,60.41638947,-177.63528442,CRC 25853.60668,05:00:00 19-Apr-2014,DiveDepth,54,79,217,38,94,65,191,13,2,208,15,112,150,15,0,161,208,80,38,0,216,4,97,176,7,136,19,7,128,0,0,
"39499",39499,Mk10,08:54:13 21-Apr-2014,,B,1,60.40972137,-177.59971619,CRC 51313.4376,,DDNTimeline,236,135,31,172,36,162,162,14,38,159,92,196,50,9,7,255,224,107,192,217,12,33,71,156,231,169,7,79,228,122,184,
"39499",39499,Mk10,09:36:29 21-Apr-2014,,A,2,60.40694427,-177.55972290,CRC 19598.51864,08:50:00 19-Apr-2012,Behavior,180,200,225,38,140,140,95,136,10,60,120,51,144,102,2,192,128,3,216,22,8,80,25,144,112,109,64,15,44,164,0,
"39499",39499,Mk10,00:18:23 22-Apr-2014,,B,A,60.45305634,-178.01916504,CRC 17136.6419,09:00:00 20-Apr-2014,Behavior,180,47,9,40,144,33,171,21,1,160,11,164,246,15,128,105,68,64,236,2,129,22,4,0,9,0,47,20,158,0,0,
"39499",39499,Mk10,00:45:41 22-Apr-2014,,K,A,60.45916748,-178.04833984,CRC 54614.54238,12:23:00 21-Apr-2014,Behavior,189,85,105,42,197,192,215,19,9,250,139,8,89,47,88,5,77,9,130,152,10,53,19,1,192,20,52,29,131,224,128,
"39499",39499,Mk10,01:43:19 22-Apr-2014,,P,2,60.46027756,-178.10749817,CRC 47485.64505,08:32:00 19-Jun-2014,Behavior,187,151,217,166,136,0,162,28,65,16,1,224,242,33,142,63,83,76,93,216,5,116,226,16,0,165,96,240,44,0,0,
"39499",39499,Mk10,01:56:58 22-Apr-2014,,B,B,60.45722198,-178.11805725,CRC 25742.65239,00:51:00 19-Apr-2011,Behavior,182,72,237,38,12,254,28,136,10,136,88,52,128,102,6,192,128,99,72,54,0,67,57,144,112,101,66,15,160,225,0,
"39499",39499,Mk10,14:49:28 22-Apr-2014,,R,B,60.89555740,-178.29666138,CRC 50234.32860,19:12:00 21-Apr-2014,Behavior,188,67,169,43,51,1,96,21,27,108,179,12,42,41,201,33,144,144,80,193,70,105,26,9,0,55,69,76,24,88,0,
"39499",39499,Mk10,19:42:44 22-Apr-2014,,A,B,60.95972061,-178.35444641,CRC 60735.44863,11:47:00 22-Apr-2014,Behavior,190,211,249,44,187,192,160,2,65,120,20,97,32,47,74,138,22,163,191,109,156,70,117,238,27,174,253,125,23,141,242,
"39499",39499,Mk10,19:43:34 22-Apr-2014,,A,B,60.95972061,-178.35444641,CRC 30820.44060,10:51:00 22-Apr-2014,Behavior,183,134,73,44,172,194,179,199,65,180,85,137,142,129,0,11,23,29,1,224,21,134,58,4,32,4,43,192,41,96,0,
"39499",39499,Mk10,20:26:59 22-Apr-2014,,P,B,60.96277618,-178.35888672,CRC 8125.22957,07:50:00 22-Apr-2014,Behavior,177,251,217,44,124,130,134,3,65,28,101,52,135,128,248,10,20,9,4,50,84,218,58,21,129,169,30,108,38,7,0,
"39499",39499,Mk10,23:03:01 22-Apr-2014,,A,1,61.01250076,-178.24833679,CRC 31082.49023,16:57:00 19-Dec-2011,Behavior,183,150,175,39,14,66,182,19,248,133,3,194,28,6,0,44,96,62,11,128,91,160,120,15,0,165,0,240,91,0,0,
"39499",39499,Mk10,23:41:27 22-Apr-2014,,P,B,61.00194550,-178.33555603,CRC 57285.23779,05:32:00 19-Apr-2014,Behavior,189,252,89,38,88,56,42,19,17,7,2,32,13,145,31,236,254,94,6,197,67,67,52,189,34,3,26,63,152,77,229,
"39499",39499,Mk10,00:46:59 23-Apr-2014,,A,A,61.02444458,-178.31694031,CRC 28297.32003,18:10:00 22-Apr-2014,Behavior,182,232,153,45,34,129,44,3,4,64,212,0,6,13,3,59,176,80,35,1,240,5,152,232,7,200,20,7,128,0,0,
"39499",39499,Mk10,04:53:21 23-Apr-2014,,B,B,61.05361176,-178.28222656,Too short,,Behavior,178,247,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39499",39499,Mk10,10:12:03 23-Apr-2014,,L,2,61.03166580,-178.55305481,CRC 37901.53003,07:05:00 22-Apr-2012,Behavior,185,64,209,44,113,69,16,253,68,69,7,21,59,196,202,181,243,175,224,86,146,11,141,163,165,231,238,145,235,129,16,
"39499",39499,Mk10,10:18:16 23-Apr-2014,,L,2,61.03166580,-178.55305481,CRC 42978.35762,22:02:00 22-Apr-2011,Behavior,186,126,45,45,96,135,121,200,66,37,67,241,17,36,36,242,217,54,21,173,200,133,4,17,0,186,141,134,10,0,0,
"39499",39499,Mk10,11:55:23 23-Apr-2014,,P,1,61.05055618,-178.55166626,CRC 43925.27608,00:00:00 22-Apr-2014,Percent,234,185,89,44,7,147,36,208,0,65,129,0,12,40,208,65,64,132,16,4,0,0,64,192,131,16,0,,,,,
"39499",39499,Mk10,11:56:54 23-Apr-2014,,P,1,61.05055618,-178.55166626,CRC 53937.58097,00:50:00 23-Apr-2014,Behavior,189,43,25,46,12,129,118,9,1,240,15,64,216,127,160,14,204,1,184,208,144,96,17,167,12,35,1,74,79,0,0,
"39499",39499,Mk10,11:59:56 23-Apr-2014,,P,1,61.05055618,-178.55166626,CRC 32647.28703,22:17:00 22-Apr-2014,Behavior,183,248,121,45,100,65,192,17,3,225,139,16,104,10,192,80,2,72,108,3,220,26,5,0,26,0,241,67,9,0,0,
