DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"39499",39499,Mk10,DS,1,0,0,,,01:09:12 19-Apr-2014,L,,,,,,,,401650000,,
"39499",39499,Mk10,DS,1,0,0,,,02:10:27 19-Apr-2014,P,,,,,,,,401650000,,
"39499",39499,Mk10,DS,1,0,0,,,02:47:50 19-Apr-2014,L,,,,,,,,401650000,,
"39499",39499,Mk10,DS,6,4,0,,,03:28:15 19-Apr-2014,N,2,60.60194397,-176.92361450,,,,,401677383,,
"39499",39499,Mk10,DS,6,4,1,,,03:38:37 19-Apr-2014,K,2,60.60277939,-176.92860413,,,,,401677382,,
"39499",39499,Mk10,DS,2,0,2,155,155,04:23:07 19-Apr-2014,L,B,60.60111237,-176.93666077,,,,,401677396,,
"39499",39499,Mk10,DS,2,1,0,,,04:52:08 19-Apr-2014,R,B,60.60472107,-176.93333435,,,,,401677392,,
"39499",39499,Mk10,DS,1,0,0,,,05:16:19 19-Apr-2014,K,B,60.60555649,-176.93472290,,,,,401677405,,
"39499",39499,Mk10,DS,1,0,1,,,05:16:19 19-Apr-2014,N,B,60.60444260,-176.93360901,,,,,401677391,,
"39499",39499,Mk10,DS,1,0,0,,,05:24:45 19-Apr-2014,A,B,60.60444260,-176.93472290,,,,,401677399,,
"39499",39499,Mk10,DS,2,0,0,57,57,06:04:49 19-Apr-2014,L,B,60.60944366,-176.93611145,,,,,401677414,,
"39499",39499,Mk10,DS,1,0,0,,,06:14:32 19-Apr-2014,B,B,60.60972214,-176.93583679,,,,,401677421,,
"39499",39499,Mk10,DS,1,0,1,,,06:34:21 19-Apr-2014,R,B,60.61472321,-176.93750000,,,,,401677383,,
"39499",39499,Mk10,DS,1,0,0,,,07:00:06 19-Apr-2014,A,B,60.62333298,-176.94444275,,,,,401677457,,
"39499",39499,Mk10,DS,1,0,0,,,07:00:06 19-Apr-2014,K,B,60.60499954,-176.93666077,,,,,401677416,,
"39499",39499,Mk10,DS,3,0,1,284,45,07:38:34 19-Apr-2014,L,A,60.62888718,-177.05360413,,,,,401677406,,
"39499",39499,Mk10,DS,1,0,0,,,07:57:44 19-Apr-2014,B,B,60.63694382,-177.07221985,,,,,401677405,,
"39499",39499,Mk10,DS,4,0,1,180,73,08:13:12 19-Apr-2014,R,2,60.67388916,-177.06777954,,,,,401677400,,
"39499",39499,Mk10,DS,5,0,1,160,51,08:36:21 19-Apr-2014,A,1,60.66694260,-177.12416077,,,,,401677399,,
"39499",39499,Mk10,DS,6,0,0,91,91,09:25:46 19-Apr-2014,L,1,60.68027878,-177.10945129,,,,,401677389,,
"39499",39499,Mk10,DS,1,0,0,,,09:32:36 19-Apr-2014,B,B,60.68027878,-177.11305237,,,,,401677372,,
"39499",39499,Mk10,DS,10,0,4,242,91,09:50:48 19-Apr-2014,R,1,60.68138885,-177.08721924,,,,,401677348,,
"39499",39499,Mk10,DS,7,0,1,91,91,12:36:07 19-Apr-2014,P,3,60.65611267,-177.06832886,,,,,401677378,,
"39499",39499,Mk10,DS,2,0,2,182,182,13:04:56 19-Apr-2014,R,B,60.65250015,-177.07360840,,,,,401677375,,
"39499",39499,Mk10,DS,1,0,0,,,00:00:10 20-Apr-2014,N,B,60.71749878,-177.10221863,,,,,401677287,,
"39499",39499,Mk10,DS,5,0,0,91,91,00:00:55 20-Apr-2014,A,1,60.58944321,-177.12333679,,,,,401677290,,
"39499",39499,Mk10,DS,8,0,0,91,91,00:13:03 20-Apr-2014,P,1,60.57666779,-177.17222595,,,,,401677279,,
"39499",39499,Mk10,DS,3,0,1,91,91,00:53:15 20-Apr-2014,L,A,60.58638763,-177.16555786,,,,,401677289,,
"39499",39499,Mk10,DS,3,0,2,91,91,01:34:12 20-Apr-2014,K,A,60.58222198,-177.19528198,,,,,401677304,,
"39499",39499,Mk10,DS,3,0,1,91,91,01:39:08 20-Apr-2014,N,2,60.56138992,-177.17916870,,,,,401677321,,
"39499",39499,Mk10,DS,4,0,0,91,91,01:57:42 20-Apr-2014,P,1,60.57527924,-177.18583679,,,,,401677332,,
"39499",39499,Mk10,DS,5,0,1,91,91,03:12:47 20-Apr-2014,K,2,60.56944275,-177.18943787,,,,,401677333,,
"39499",39499,Mk10,DS,4,0,1,121,91,03:17:38 20-Apr-2014,N,2,60.56666565,-177.20138550,,,,,401677331,,
"39499",39499,Mk10,DS,1,0,1,,,03:21:53 20-Apr-2014,A,B,60.56472397,-177.21055603,,,,,401677328,,
"39499",39499,Mk10,DS,4,0,2,91,91,04:21:47 20-Apr-2014,R,2,60.56638718,-177.23777771,,,,,401677335,,
"39499",39499,Mk10,DS,5,0,0,91,91,04:52:53 20-Apr-2014,K,3,60.56611252,-177.23138428,,,,,401677345,,
"39499",39499,Mk10,DS,10,0,1,384,91,05:00:28 20-Apr-2014,A,2,60.56361008,-177.23693848,,,,,401677351,,
"39499",39499,Mk10,DS,7,0,0,91,91,06:02:39 20-Apr-2014,R,3,60.56499863,-177.25193787,,,,,401677367,,
"39499",39499,Mk10,DS,1,0,0,,,07:37:41 20-Apr-2014,B,B,60.56499863,-177.25361633,,,,,401677403,,
"39499",39499,Mk10,DS,1,0,0,,,07:37:41 20-Apr-2014,R,B,60.56499863,-177.26416016,,,,,401677404,,
"39499",39499,Mk10,DS,2,0,0,46,46,08:14:18 20-Apr-2014,A,B,60.56305695,-177.25860596,,,,,401677400,,
"39499",39499,Mk10,DS,2,0,1,46,46,09:14:29 20-Apr-2014,L,A,60.52000046,-177.29138184,,,,,401677393,,
"39499",39499,Mk10,DS,1,0,1,,,09:14:07 20-Apr-2014,B,B,60.55555725,-177.27027893,,,,,401677357,,
"39499",39499,Mk10,DS,1,0,0,,,09:22:12 20-Apr-2014,R,B,60.52000046,-177.29055786,,,,,401677392,,
"39499",39499,Mk10,DS,7,0,2,87,46,09:56:17 20-Apr-2014,A,3,60.50777817,-177.27915955,,,,,401677398,,
"39499",39499,Mk10,DS,7,0,0,91,91,00:06:14 21-Apr-2014,P,3,60.40999985,-177.41749573,,,,,401677302,,
"39499",39499,Mk10,DS,3,0,1,136,91,00:39:36 21-Apr-2014,L,A,60.40444565,-177.42582703,,,,,401677325,,
"39499",39499,Mk10,DS,3,0,1,182,91,01:09:26 21-Apr-2014,K,A,60.40611267,-177.41499329,,,,,401677317,,
"39499",39499,Mk10,DS,5,0,0,91,91,01:20:33 21-Apr-2014,A,1,60.41110992,-177.42027283,,,,,401677309,,
"39499",39499,Mk10,DS,8,0,2,195,91,01:20:33 21-Apr-2014,N,2,60.40666580,-177.42250061,,,,,401677303,,
"39499",39499,Mk10,DS,5,0,2,113,91,01:48:09 21-Apr-2014,P,3,60.40916824,-177.44000244,,,,,401677306,,
"39499",39499,Mk10,DS,5,0,0,113,91,02:43:58 21-Apr-2014,K,3,60.40777588,-177.47666931,,,,,401677310,,
"39499",39499,Mk10,DS,1,0,0,,,03:00:39 21-Apr-2014,A,B,60.40611267,-177.48194885,,,,,401677320,,
"39499",39499,Mk10,DS,6,0,2,91,91,03:01:25 21-Apr-2014,N,3,60.40861130,-177.47833252,,,,,401677313,,
"39499",39499,Mk10,DS,2,0,2,91,91,03:30:59 21-Apr-2014,P,B,60.41055679,-177.47555542,,,,,401677317,,
"39499",39499,Mk10,DS,3,0,2,136,91,03:49:41 21-Apr-2014,R,A,60.39888763,-177.48110962,,,,,401677324,,
"39499",39499,Mk10,DS,1,0,0,,,03:59:48 21-Apr-2014,L,B,60.39916611,-177.48222351,,,,,401677334,,
"39499",39499,Mk10,DS,5,0,0,113,91,04:28:37 21-Apr-2014,K,3,60.41027832,-177.50305176,,,,,401677323,,
"39499",39499,Mk10,DS,6,0,1,127,91,04:39:14 21-Apr-2014,A,A,60.40833282,-177.51277161,,,,,401677324,,
"39499",39499,Mk10,DS,7,0,0,91,91,05:32:19 21-Apr-2014,R,3,60.41416550,-177.53778076,,,,,401677329,,
"39499",39499,Mk10,DS,3,0,1,136,91,05:39:54 21-Apr-2014,L,2,60.40277863,-177.54861450,,,,,401677335,,
"39499",39499,Mk10,DS,6,0,3,91,91,06:11:45 21-Apr-2014,K,2,60.41583252,-177.54611206,,,,,401677336,,
"39499",39499,Mk10,DS,5,0,1,113,91,06:14:47 21-Apr-2014,A,2,60.41749954,-177.56777954,,,,,401677343,,
"39499",39499,Mk10,DS,5,0,0,91,91,07:10:09 21-Apr-2014,R,1,60.40361023,-177.52082825,,,,,401677330,,
"39499",39499,Mk10,DS,3,0,2,136,91,07:10:24 21-Apr-2014,B,0,60.41638947,-177.63528442,,,,,401677335,,
"39499",39499,Mk10,DS,7,0,0,109,91,07:20:00 21-Apr-2014,L,1,60.41555405,-177.61083984,,,,,401677347,,
"39499",39499,Mk10,DS,4,0,1,177,47,08:47:23 21-Apr-2014,R,1,60.40972137,-177.61361694,,,,,401677390,,
"39499",39499,Mk10,DS,3,0,1,101,86,08:54:19 21-Apr-2014,B,1,60.40972137,-177.59971619,,,,,401677399,,
"39499",39499,Mk10,DS,6,0,0,63,46,09:00:07 21-Apr-2014,L,2,60.41805649,-177.59056091,,,,,401677396,,
"39499",39499,Mk10,DS,6,0,2,91,46,09:36:04 21-Apr-2014,A,2,60.40694427,-177.55972290,,,,,401677394,,
"39499",39499,Mk10,DS,2,0,0,91,91,00:00:56 22-Apr-2014,P,B,60.44222260,-177.97805786,,,,,401677309,,
"39499",39499,Mk10,DS,3,0,2,136,91,00:15:21 22-Apr-2014,B,A,60.45305634,-178.01916504,,,,,401677315,,
"39499",39499,Mk10,DS,6,0,0,91,91,00:29:00 22-Apr-2014,L,2,60.45805740,-178.05194092,,,,,401677306,,
"39499",39499,Mk10,DS,3,0,1,91,91,00:45:41 22-Apr-2014,K,A,60.45916748,-178.04833984,,,,,401677302,,
"39499",39499,Mk10,DS,5,0,1,91,91,01:01:36 22-Apr-2014,A,2,60.45277786,-178.05499268,,,,,401677305,,
"39499",39499,Mk10,DS,7,0,0,91,91,01:16:01 22-Apr-2014,N,1,60.44610977,-178.08917236,,,,,401677317,,
"39499",39499,Mk10,DS,8,0,3,91,91,01:38:00 22-Apr-2014,P,2,60.46027756,-178.10749817,,,,,401677320,,
"39499",39499,Mk10,DS,1,0,1,,,01:56:58 22-Apr-2014,B,B,60.45722198,-178.11805725,,,,,401677320,,
"39499",39499,Mk10,DS,2,0,0,91,91,02:11:22 22-Apr-2014,L,A,60.45944595,-178.10499573,,,,,401677325,,
"39499",39499,Mk10,DS,5,0,1,136,91,02:26:05 22-Apr-2014,K,3,60.45555496,-178.13444519,,,,,401677324,,
"39499",39499,Mk10,DS,3,0,1,136,91,02:39:26 22-Apr-2014,A,A,60.43888855,-178.14750671,,,,,401677330,,
"39499",39499,Mk10,DS,3,0,0,156,49,02:58:21 22-Apr-2014,N,A,60.45000076,-178.17222595,,,,,401677381,,
"39499",39499,Mk10,DS,2,0,1,59,59,03:16:51 22-Apr-2014,P,B,60.45639038,-178.13722229,,,,,401677393,,
"39499",39499,Mk10,DS,1,0,0,,,03:47:29 22-Apr-2014,L,B,60.46083450,-178.12611389,,,,,401677398,,
"39499",39499,Mk10,DS,2,0,0,54,54,04:09:33 22-Apr-2014,K,B,60.46555710,-178.12083435,,,,,401677394,,
"39499",39499,Mk10,DS,1,0,0,,,04:18:15 22-Apr-2014,A,B,60.46472168,-178.12889099,,,,,401677413,,
"39499",39499,Mk10,DS,1,0,0,,,04:38:58 22-Apr-2014,N,B,60.46555710,-178.12527466,,,,,401677420,,
"39499",39499,Mk10,DS,3,0,0,223,105,04:57:52 22-Apr-2014,R,A,60.37333298,-178.05111694,,,,,401677335,,
"39499",39499,Mk10,DS,1,0,0,,,05:24:04 22-Apr-2014,L,B,60.37416840,-178.05166626,,,,,401677457,,
"39499",39499,Mk10,DS,1,0,1,,,05:40:54 22-Apr-2014,K,B,60.46250153,-178.14778137,,,,,401677426,,
"39499",39499,Mk10,DS,1,0,0,,,05:53:57 22-Apr-2014,A,B,60.37416840,-178.05166626,,,,,401677450,,
"39499",39499,Mk10,DS,3,0,0,166,64,06:36:15 22-Apr-2014,R,A,60.58472061,-177.94221497,,,,,401677383,,
"39499",39499,Mk10,DS,2,0,1,620,620,08:18:33 22-Apr-2014,R,B,60.66333389,-178.29943848,,,,,401677383,,
"39499",39499,Mk10,DS,1,0,1,,,08:35:05 22-Apr-2014,B,B,60.58638763,-177.94389343,,,,,401677432,,
"39499",39499,Mk10,DS,1,0,0,,,08:51:33 22-Apr-2014,L,B,60.58666611,-177.94528198,,,,,401677414,,
"39499",39499,Mk10,DS,4,0,1,4602,46,09:57:13 22-Apr-2014,R,B,60.75833511,-178.19833374,,,,,401677383,,
"39499",39499,Mk10,DS,2,0,1,66,66,14:48:55 22-Apr-2014,R,B,60.89555740,-178.29666138,,,,,401677393,,
"39499",39499,Mk10,DS,1,0,0,,,15:08:27 22-Apr-2014,N,B,60.90222168,-178.32139587,,,,,401677394,,
"39499",39499,Mk10,DS,1,0,1,,,15:26:48 22-Apr-2014,P,B,60.90666580,-178.30221558,,,,,401677394,,
"39499",39499,Mk10,DS,1,0,0,,,16:04:55 22-Apr-2014,K,B,60.91944504,-178.31027222,,,,,401677400,,
"39499",39499,Mk10,DS,3,0,1,233,47,16:30:13 22-Apr-2014,R,A,60.93333435,-178.30944824,,,,,401677389,,
"39499",39499,Mk10,DS,1,0,0,,,17:50:27 22-Apr-2014,K,B,60.97111130,-178.33222961,,,,,401677404,,
"39499",39499,Mk10,DS,2,0,0,53,53,19:23:38 22-Apr-2014,K,B,60.95055389,-178.33639526,,,,,401677387,,
"39499",39499,Mk10,DS,2,0,2,50,50,19:43:08 22-Apr-2014,A,B,60.95972061,-178.35444641,,,,,401677399,,
"39499",39499,Mk10,DS,1,0,1,,,20:26:58 22-Apr-2014,P,B,60.96277618,-178.35888672,,,,,401677374,,
"39499",39499,Mk10,DS,1,0,0,,,20:59:57 22-Apr-2014,L,B,60.96055603,-178.35888672,,,,,401677391,,
"39499",39499,Mk10,DS,1,0,0,,,22:01:57 22-Apr-2014,P,B,60.97388840,-178.33166504,,,,,401677388,,
"39499",39499,Mk10,DS,1,0,1,,,22:16:45 22-Apr-2014,B,B,60.97360992,-178.33111572,,,,,401677386,,
"39499",39499,Mk10,DS,1,0,0,,,22:39:13 22-Apr-2014,L,B,60.98389053,-178.33277893,,,,,401677379,,
"39499",39499,Mk10,DS,7,0,2,119,46,22:58:23 22-Apr-2014,A,1,61.01250076,-178.24833679,,,,,401677389,,
"39499",39499,Mk10,DS,1,0,1,,,23:41:26 22-Apr-2014,P,B,61.00194550,-178.33555603,,,,,401677395,,
