DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"37909",37909,Mk10,09:21:12 22-May-2014,Argos,B,59.62333298,-172.63667297,213,246,183,73,,,,,
"37909",37909,Mk10,09:56:26 22-May-2014,Argos,B,59.60833359,-172.66082764,1801,3281,988,22,,,,,
"37909",37909,Mk10,10:36:12 22-May-2014,Argos,A,59.62222290,-172.66082764,602,1060,341,35,,,,,
"37909",37909,Mk10,10:51:14 22-May-2014,Argos,B,59.62250137,-172.66166687,663,879,500,56,,,,,
"37909",37909,Mk10,11:35:22 22-May-2014,Argos,1,59.60749817,-172.67222595,510,641,405,115,,,,,
"37909",37909,Mk10,00:18:14 23-May-2014,Argos,1,59.42444611,-172.90611267,531,1372,205,88,,,,,
"37909",37909,Mk10,00:23:41 23-May-2014,Argos,1,59.42444611,-172.91139221,501,798,314,96,,,,,
"37909",37909,Mk10,00:49:55 23-May-2014,Argos,1,59.41472244,-172.92138672,1081,3556,328,81,,,,,
"37909",37909,Mk10,00:51:41 23-May-2014,Argos,2,59.41388702,-172.92056274,403,1128,144,87,,,,,
"37909",37909,Mk10,01:19:15 23-May-2014,Argos,B,59.41388702,-172.92083740,1032,2100,506,89,,,,,
"37909",37909,Mk10,01:22:41 23-May-2014,Argos,2,59.40277863,-172.92277527,318,559,180,94,,,,,
"37909",37909,Mk10,01:59:06 23-May-2014,Argos,B,59.39083481,-172.95249939,375,1299,108,87,,,,,
"37909",37909,Mk10,02:00:47 23-May-2014,Argos,1,59.38916779,-172.94111633,607,4840,76,79,,,,,
"37909",37909,Mk10,02:30:34 23-May-2014,Argos,B,59.37805557,-172.93833923,1108,2687,457,79,,,,,
"37909",37909,Mk10,02:38:32 23-May-2014,Argos,A,59.36916733,-172.97166443,702,1786,275,53,,,,,
"37909",37909,Mk10,03:02:56 23-May-2014,Argos,1,59.36999893,-172.95166016,726,3868,136,74,,,,,
"37909",37909,Mk10,03:45:09 23-May-2014,Argos,A,59.38055420,-172.96945190,1472,2119,1023,100,,,,,
"37909",37909,Mk10,03:48:17 23-May-2014,Argos,2,59.35666656,-173.01527405,373,743,187,90,,,,,
"37909",37909,Mk10,04:06:41 23-May-2014,Argos,1,59.35583496,-173.00582886,535,1566,182,87,,,,,
"37909",37909,Mk10,04:43:24 23-May-2014,Argos,3,59.34777832,-173.00889587,220,585,82,66,,,,,
"37909",37909,Mk10,05:12:18 23-May-2014,Argos,1,59.34277725,-173.01805115,924,4209,202,110,,,,,
"37909",37909,Mk10,05:23:43 23-May-2014,Argos,3,59.34611130,-173.01194763,243,1190,49,103,,,,,
"37909",37909,Mk10,05:33:45 23-May-2014,Argos,B,59.34611130,-173.01194763,228,578,89,98,,,,,
"37909",37909,Mk10,05:42:50 23-May-2014,Argos,1,59.32583237,-173.03555298,916,4567,183,96,,,,,
"37909",37909,Mk10,06:06:39 23-May-2014,Argos,1,59.33027649,-173.03388977,737,1141,476,44,,,,,
"37909",37909,Mk10,06:22:47 23-May-2014,Argos,B,59.32472229,-173.04110718,815,1292,513,81,,,,,
"37909",37909,Mk10,06:51:14 23-May-2014,Argos,1,59.32416534,-173.04277039,612,1346,278,64,,,,,
"37909",37909,Mk10,06:58:42 23-May-2014,Argos,1,59.31388855,-173.04695129,790,3371,185,94,,,,,
"37909",37909,Mk10,07:22:01 23-May-2014,Argos,2,59.30472183,-173.05471802,336,2347,48,77,,,,,
"37909",37909,Mk10,07:56:14 23-May-2014,Argos,B,59.30444336,-173.05610657,458,1430,146,84,,,,,
"37909",37909,Mk10,07:56:14 23-May-2014,Argos,B,59.29527664,-173.06860352,609,1953,189,81,,,,,
"37909",37909,Mk10,08:33:31 23-May-2014,Argos,2,59.27138901,-173.03805542,274,710,105,75,,,,,
"37909",37909,Mk10,08:42:13 23-May-2014,Argos,1,59.27055740,-173.03500366,942,2674,331,89,,,,,
