DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
"99277",99277,Mk10,07:04:43 12-Apr-2014,,B,B,60.64527893,-177.93278503,CRC 48924.33215,04:33:00 12-May-2014,Behavior,187,241,201,88,72,123,176,64,191,113,176,6,161,247,195,96,98,146,223,6,192,18,69,188,141,128,4,10,166,27,0,
"99277",99277,Mk10,10:15:49 12-Apr-2014,,B,B,60.65666580,-177.93360901,CRC 3628.30535,15:21:00 05-May-2013,Behavior,176,226,197,74,245,106,170,171,85,74,130,213,254,191,252,122,179,54,54,193,129,226,29,194,172,68,1,216,133,154,1,
"99277",99277,Mk10,11:02:30 12-Apr-2014,,A,B,60.66583252,-177.90777588,CRC 55922.44740,04:38:45 13-Apr-2014,Status,0,1,26,73,173,218,114,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,Mk10,11:03:14 12-Apr-2014,,A,B,60.66583252,-177.90777588,CRC 16156.50555,05:33:00 09-Apr-2014,Behavior,179,241,201,18,88,123,50,73,182,157,45,253,150,155,225,176,49,91,91,66,208,9,0,222,90,127,237,0,41,134,192,
"99277",99277,Mk10,12:13:16 12-Apr-2014,,P,B,60.69666672,-177.84777832,CRC 50344.21949,,,252,74,139,24,61,60,145,1,243,90,192,106,6,133,50,17,26,77,40,16,58,0,217,72,1,48,6,200,36,9,128,
"99277",99277,Mk10,15:33:16 12-Apr-2014,,N,3,60.77333450,-177.89305115,CRC 48630.46536,12:00:00 12-Apr-2014,Behavior,187,223,105,24,192,1,82,144,64,152,3,24,146,39,178,10,32,144,196,197,23,140,130,82,192,124,176,1,32,0,0,
"99277",99277,Mk10,17:14:08 12-Apr-2014,,P,2,60.77249908,-177.91860962,CRC 11831.40758,09:14:00 12-Apr-2012,Behavior,178,227,113,24,147,184,28,82,189,226,176,38,5,33,12,98,76,10,177,59,144,73,27,102,42,9,75,42,156,100,32,
"99277",99277,Mk10,12:54:07 13-Apr-2014,,R,B,60.63583374,-178.34416199,CRC 45290.45226,13:41:00 12-Apr-2014,Behavior,187,14,169,24,218,66,134,162,50,25,128,158,64,14,72,139,201,36,24,128,99,152,0,76,5,74,160,194,158,128,0,
"99277",99277,Mk10,17:46:25 13-Apr-2014,,R,3,60.65000153,-178.42750549,CRC 48677.17762,,DiveDepth,59,226,89,25,205,64,148,130,64,156,5,152,178,4,192,24,200,0,176,209,161,36,178,107,39,2,1,59,216,0,0,
"99277",99277,Mk10,19:29:21 13-Apr-2014,,R,B,60.66333389,-178.45056152,CRC 44530.18931,,,250,223,41,24,192,1,82,144,64,152,3,24,146,39,178,42,32,144,196,197,23,140,130,82,194,124,176,1,32,0,0,
"99277",99277,Mk10,19:47:09 13-Apr-2014,,K,B,60.65999985,-178.44528198,Too short,,Behavior,184,192,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,Mk10,20:22:45 13-Apr-2014,,P,A,60.65888977,-178.44999695,CRC 45226.48810,13:41:00 12-Apr-2012,Behavior,187,10,161,24,218,66,134,162,50,25,128,158,64,14,72,139,201,36,24,128,99,152,0,76,5,74,160,194,158,128,0,
"99277",99277,Mk10,20:22:45 13-Apr-2014,,B,B,60.66110992,-178.44749451,Too short,,Behavior,187,11,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,Mk10,01:06:36 14-Apr-2014,,N,3,60.66611099,-178.50305176,CRC 3137.52400,11:55:00 13-Apr-2014,Behavior,176,196,25,26,189,194,149,192,64,58,5,33,158,96,233,68,210,128,47,89,29,208,74,197,50,62,46,5,88,116,0,
"99277",99277,Mk10,10:45:48 14-Apr-2014,,R,B,60.73138809,-178.56027222,CRC 35841.59660,08:00:00 13-Apr-2014,DiveDepth,56,192,25,26,130,99,28,133,73,10,220,70,43,74,96,36,6,100,59,4,224,47,102,80,19,1,243,10,193,120,3,
"99277",99277,Mk10,01:02:09 15-Apr-2014,,B,B,60.86888885,-178.87138367,CRC 47717.61955,08:10:00 14-Apr-2014,Behavior,187,166,89,28,130,131,98,41,64,38,2,106,117,0,144,48,178,186,1,32,61,18,144,1,0,138,164,128,72,0,0,
"99277",99277,Mk10,03:37:54 15-Apr-2014,,R,B,60.88750076,-178.94194031,CRC 57449.35138,12:33:00 14-Dec-2014,Behavior,190,6,155,28,200,66,244,41,192,38,6,172,73,64,36,4,10,25,36,23,13,164,2,202,50,79,163,177,141,176,0,
"99277",99277,Mk10,11:44:50 15-Apr-2014,,P,B,60.95194626,-178.84777832,CRC 48965.19096,,,107,244,89,58,7,114,0,0,0,0,0,0,0,0,0,0,128,9,2,8,128,0,0,95,0,119,32,119,0,0,0,
"99277",99277,Mk10,13:24:24 15-Apr-2014,,P,A,60.97000122,-178.80055237,CRC 23247.48387,11:03:00 15-Apr-2014,Behavior,181,172,249,30,176,195,164,50,128,232,12,201,128,40,192,114,194,176,58,5,13,25,96,156,10,137,21,1,56,0,0,
"99277",99277,Mk10,18:21:05 15-Apr-2014,,P,0,60.94222260,-178.80082703,CRC 11955.52170,15:03:00 15-Apr-2011,Behavior,178,235,61,30,240,192,138,160,2,116,199,199,0,4,192,39,200,1,221,181,53,154,130,82,138,147,51,2,116,192,0,
"99277",99277,Mk10,18:23:17 15-Apr-2014,,P,0,60.94222260,-178.80082703,Too short,,Behavior,186,101,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,Mk10,00:57:42 16-Apr-2014,,P,3,60.92472076,-178.90972900,CRC 30965.61684,05:00:00 14-Apr-2014,DiveDepth,55,143,89,28,94,4,89,161,24,72,56,49,201,0,38,7,76,146,128,36,17,100,20,160,9,0,189,6,128,72,0,
