DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue
"99277",99277,0.500000,Mk10,,04:44:34 12-Apr-2014,04:44:25 12-Apr-2014,-8,3,60.64500046,-177.93194580,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,21:21:21 12-Apr-2014,04:45:54 12-Apr-2014,-59726,3,60.64527893,-177.93222046,,0,1,,21845,2.736,,,28.20,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,04:47:32 12-Apr-2014,04:47:23 12-Apr-2014,-8,3,60.64500046,-177.93194580,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,04:49:01 12-Apr-2014,04:48:52 12-Apr-2014,-8,3,60.64500046,-177.93194580,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,04:50:30 12-Apr-2014,04:50:21 12-Apr-2014,-8,3,60.64527893,-177.93222046,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,04:51:59 12-Apr-2014,04:51:50 12-Apr-2014,-8,3,60.64527893,-177.93222046,,1,0,,707,3.440,,,0.30,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,04:53:28 12-Apr-2014,04:53:19 12-Apr-2014,-8,3,60.64500046,-177.93194580,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,04:54:57 12-Apr-2014,04:54:48 12-Apr-2014,-8,3,60.64527893,-177.93222046,CRC,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,05:17:02 12-Apr-2014,05:16:53 12-Apr-2014,-8,B,60.64611053,-177.93194580,,0,0,,715,3.440,,,-1.30,,,,,,,,,,,,,,,,,,,,,,,
"99277",99277,0.500000,Mk10,,05:18:30 12-Apr-2014,05:18:21 12-Apr-2014,-8,B,60.64611053,-177.93194580,CRC,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
